Score	q-val	Members
1.0	500.0	RUSC1	CDKN2A
1.0	250.0	ASCC1	BAP1
1.0	166.66666666666666	VPS52	BAP1
1.0	125.0	VPRBP	BAP1
1.0	100.0	CCDC142	BAP1
1.0	83.33333333333333	B2M	CDKN2A
1.0	71.42857142857143	MAGED1	CDKN2A
1.0	62.5	CLK2	CDKN2A
1.0	55.55555555555556	C20orf194	PBRM1
1.0	50.0	YEATS2	CDKN2A
1.0	45.45454545454545	MTERFD3	BAP1
1.0	41.666666666666664	VNN2	BAP1
1.0	38.46153846153846	PTPRK	BAP1
1.0	35.714285714285715	VPS45	CDKN2A
1.0	33.333333333333336	MED12	BAP1
1.0	31.25	EXD3	BAP1
1.0	29.41176470588235	ZNF503	BAP1
1.0	27.77777777777778	ISG20L2	CDKN2A
1.0	26.31578947368421	PCM1	BAP1
1.0	25.0	WDR90	BAP1
1.0	23.80952380952381	HLA-DQA1	BAP1
1.0	22.727272727272727	MAGEE1	BAP1
1.0	21.73913043478261	ASCC2	CDKN2A
1.0	20.833333333333332	TRAPPC9	CDKN2A
1.0	20.0	TGIF2	BAP1
1.0	19.23076923076923	RPS10	PBRM1
1.0	18.51851851851852	HLA-DRA	BAP1
1.0	17.857142857142858	CRTC2	CDKN2A
1.0	17.24137931034483	ORAI1	CDKN2A
1.0	16.666666666666668	KIAA1109	MLL3
1.0	16.129032258064516	ACP6	CDKN2A
1.0	15.625	MTX1	CDKN2A
1.0	15.151515151515152	ZNF511	BAP1
1.0	14.705882352941176	TRPT1	BAP1
1.0	14.285714285714286	SDHAF2	BAP1
1.0	13.88888888888889	C1orf56	CDKN2A
1.0	13.513513513513514	SCRIB	BAP1
1.0	13.157894736842104	VPS72	CDKN2A
1.0	12.820512820512821	RPS28	BAP1
1.0	12.5	C19orf26	BAP1
1.0	12.195121951219512	VWA5B1	BAP1
1.0	11.904761904761905	GOLPH3L	CDKN2A
1.0	11.627906976744185	CKLF	BAP1
1.0	11.363636363636363	ISY1	BAP1
1.0	11.11111111111111	PABPC3	BAP1
1.0	10.869565217391305	RPS21	BAP1
1.0	10.638297872340425	TCF4	BAP1
1.0	10.416666666666666	SPHK2	CDKN2A
1.0	10.204081632653061	MAP2K1	BAP1
1.0	10.0	JTB	CDKN2A
1.0	9.803921568627452	PPFIBP1	BAP1
1.0	9.615384615384615	FAM131C	PBRM1
1.0	9.433962264150944	ATM	PBRM1
1.0	9.25925925925926	C1orf43	CDKN2A
1.0	9.090909090909092	FNBP4	CDKN2A
1.0	8.928571428571429	GHDC	BAP1
1.0	8.771929824561404	SPNS1	BAP1
1.0	8.620689655172415	ELF3	CDKN2A
1.0	8.474576271186441	ELF4	BAP1
1.0	8.333333333333334	NAP1L1	MLL3
1.0	8.19672131147541	ZNF12	PBRM1
