Score	q-val	Members
1.0	156.0	XRCC4	TP53
1.0	78.0	PLXNA3	KRAS
1.0	52.0	GNA15	L2HGDH
1.0	39.0	STK31	TP53
1.0	31.2	GNA11	KRAS
1.0	26.0	UTRN	TP53
1.0	22.285714285714285	ZNF451	KRAS
1.0	19.5	NAA15	L2HGDH
1.0	17.333333333333332	MMP7	TP53
1.0	15.6	HIRA	TP53
1.0	14.181818181818182	CNOT1	TP53
1.0	13.0	ITSN1	TP53
1.0	12.0	XRCC1	L2HGDH
1.0	11.142857142857142	PUS7L	TP53
1.0	10.4	KLHL7	KRAS
1.0	9.75	DAB2	KRAS
1.0	9.176470588235293	GSTM4	KRAS
1.0	8.666666666666666	APOE	TP53
1.0	8.210526315789474	MIER3	KRAS
1.0	7.8	CFH	TP53
1.0	7.428571428571429	PIK3CA	TP53
1.0	7.090909090909091	VPS13A	L2HGDH
1.0	6.782608695652174	MLL4	KRAS
1.0	6.5	WWOX	L2HGDH
1.0	6.24	MAGI3	KRAS
1.0	6.0	VANGL2	KRAS
1.0	5.777777777777778	LIG3	L2HGDH
1.0	5.571428571428571	STIM2	KRAS
1.0	5.379310344827586	EXD3	TP53
1.0	5.2	C1orf66	KRAS
1.0	5.032258064516129	PCLO	TP53
1.0	4.875	ADAMTS9	TP53
1.0	4.7272727272727275	TNS1	KRAS
1.0	4.588235294117647	PARP12	KRAS
1.0	4.457142857142857	ATP9A	KRAS
1.0	4.333333333333333	CNTROB	KRAS
1.0	4.216216216216216	EPS8L2	TP53
1.0	4.105263157894737	RNF20	KRAS
1.0	4.0	FBXO10	TP53
1.0	3.9	KIAA0947	TP53
1.0	3.8048780487804876	ARV1	L2HGDH
1.0	3.7142857142857144	TDRD3	TP53
1.0	3.627906976744186	IFIH1	KRAS
1.0	3.5454545454545454	STK10	TP53
1.0	3.466666666666667	ABCA1	L2HGDH
1.0	3.391304347826087	ASTN2	L2HGDH
1.0	3.3191489361702127	ARFGEF1	KRAS
1.0	3.25	FBXW7	L2HGDH
1.0	3.183673469387755	PTK2	KRAS
1.0	3.12	KRAS	TP53
1.0	3.0588235294117645	ZNF226	L2HGDH
1.0	3.0	IDH2	L2HGDH
1.0	2.943396226415094	ANKIB1	TP53
1.0	2.888888888888889	TRAF5	TP53
1.0	2.8363636363636364	GCNT1	TP53
1.0	2.7857142857142856	COL18A1	L2HGDH
1.0	2.736842105263158	PHYHIPL	L2HGDH
1.0	2.689655172413793	CFLAR	L2HGDH
1.0	2.6440677966101696	RECQL5	KRAS
1.0	2.6	SMCHD1	TP53
1.0	2.557377049180328	MYO1B	KRAS
1.0	2.5161290322580645	LPP	KRAS
1.0	2.4761904761904763	TTC21B	KRAS
1.0	2.4375	TRIO	TP53
1.0	2.4	EPHX1	TP53
1.0	2.3636363636363638	ATP11A	L2HGDH
1.0	2.328358208955224	ABCB1	TP53
1.0	2.2941176470588234	ACACB	TP53
1.0	2.260869565217391	CD63	TP53
1.0	2.2285714285714286	KIAA2018	KRAS
1.0	2.1971830985915495	ATM	TP53
1.0	2.1666666666666665	MPRIP	L2HGDH
1.0	2.136986301369863	TBC1D24	KRAS
1.0	2.108108108108108	RPE	TP53
1.0	2.08	LAMA3	KRAS
1.0	2.0526315789473686	ATP2A3	KRAS
1.0	2.0259740259740258	UBA2	KRAS
1.0	2.0	ITGA7	TP53
1.0	1.9746835443037976	WDR4	TP53
1.0	1.95	DNMT1	L2HGDH
1.0	1.9259259259259258	UTP20	TP53
1.0	1.9024390243902438	NOMO1	L2HGDH
1.0	1.8795180722891567	KLF4	TP53
1.0	1.8571428571428572	ADAR	TP53
1.0	1.8352941176470587	OSBP	TP53
1.0	1.813953488372093	SEC24B	KRAS
1.0	1.793103448275862	HIP1R	TP53
1.0	1.7727272727272727	MLPH	TP53
1.0	1.752808988764045	TCOF1	L2HGDH
1.0	1.7333333333333334	PDIA5	TP53
1.0	1.7142857142857142	KCNK13	KRAS
1.0	1.6956521739130435	CD151	L2HGDH
1.0	1.6774193548387097	ZNF14	TP53
1.0	1.6595744680851063	TTLL3	L2HGDH
1.0	1.6421052631578947	KIF2C	L2HGDH
1.0	1.625	DNAJC14	KRAS
1.0	1.6082474226804124	COPB1	TP53
1.0	1.5918367346938775	ZNF407	L2HGDH
1.0	1.5757575757575757	ARHGAP11A	TP53
1.0	1.56	RANBP2	KRAS
1.0	1.5445544554455446	DOCK11	KRAS
1.0	1.5294117647058822	COL11A1	KRAS
1.0	1.5145631067961165	MDN1	KRAS
1.0	1.5	USP13	TP53
1.0	1.4857142857142858	PRKCA	KRAS
1.0	1.471698113207547	IFT80	TP53
1.0	1.4579439252336448	FUNDC1	TP53
1.0	1.4444444444444444	ADNP	L2HGDH
1.0	1.4311926605504588	TP53	KRAS
1.0	1.4181818181818182	SF1	TP53
1.0	1.4054054054054055	ARHGEF15	TP53
1.0	1.3928571428571428	MXD1	L2HGDH
1.0	1.3805309734513274	PRPF4	L2HGDH
1.0	1.368421052631579	ELMO1	KRAS
1.0	1.3565217391304347	CD3EAP	KRAS
1.0	1.3448275862068966	MAN2A1	TP53
1.0	1.3333333333333333	ALG10B	TP53
1.0	1.3220338983050848	IPO4	TP53
1.0	1.3109243697478992	SNRNP200	KRAS
1.0	1.3	ZNF480	KRAS
1.0	1.2892561983471074	TRAPPC10	TP53
1.0	1.278688524590164	PRKD3	L2HGDH
1.0	1.2682926829268293	PHLDB1	TP53
1.0	1.2580645161290323	BCMO1	KRAS
1.0	1.248	FRYL	KRAS
1.0	1.2380952380952381	CSF1	L2HGDH
1.0	1.2283464566929134	ABLIM3	KRAS
