Score	q-val	Members
1.0	261.91	XRCC4	TP53
1.0	130.955	LTBP2	KRAS
1.0	87.30333333333334	UTRN	TP53
1.0	65.4775	NAA15	PRKCA
1.0	52.382000000000005	HIRA	TP53
1.0	43.65166666666667	EPT1	KRAS
1.0	37.41571428571429	ITSN1	TP53
1.0	32.73875	XRCC1	CDH11
1.0	29.101111111111113	MAP3K4	TP53
1.0	26.191000000000003	GBF1	KRAS
1.0	23.810000000000002	PLOD2	KRAS
1.0	21.825833333333335	APOE	TP53
1.0	20.14692307692308	CD46	TP53
1.0	18.707857142857144	CFH	TP53
1.0	17.46066666666667	PIK3CA	TP53
1.0	16.369375	VPS13A	ABCB1
1.0	15.406470588235296	SUPT5H	TP53
1.0	14.550555555555556	RAPGEF2	KRAS
1.0	13.784736842105264	MAP2K6	TP53
1.0	13.095500000000001	WWOX	CDH11
1.0	12.471904761904764	MAGI3	KRAS
1.0	11.905000000000001	BRAF	KRAS
1.0	11.387391304347828	VANGL2	KRAS
1.0	10.912916666666668	LIG3	XRCC4
1.0	10.476400000000002	VPS41	TP53
1.0	10.07346153846154	FRY	TP53
1.0	9.700370370370372	DCLRE1A	TP53
1.0	9.353928571428572	ADAMTS9	TP53
1.0	9.031379310344828	DCAF7	KRAS
1.0	8.730333333333334	HUWE1	KRAS
1.0	8.448709677419355	ARL8B	TP53
1.0	8.1846875	TDRD3	APC
1.0	7.936666666666667	UBA6	TP53
1.0	7.703235294117648	ARFGEF1	FOXO4
1.0	7.483142857142858	KRAS	TP53
1.0	7.275277777777778	ACD	KRAS
1.0	7.07864864864865	DMD	TP53
1.0	6.892368421052632	CDC40	RANBP2
1.0	6.715641025641026	IDH2	CDH11
1.0	6.547750000000001	GCNT1	TP53
1.0	6.3880487804878054	COL18A1	CDH11
1.0	6.235952380952382	RECQL5	KRAS
1.0	6.09093023255814	DENND1A	KRAS
1.0	5.952500000000001	TRIO	TP53
1.0	5.820222222222223	PTPN13	KRAS
1.0	5.693695652173914	ATP11A	DDX58
1.0	5.572553191489362	ARFIP1	TP53
1.0	5.456458333333334	ACACB	APC
1.0	5.345102040816327	CD63	TP53
1.0	5.238200000000001	CDC27	TP53
1.0	5.135490196078432	S100A13	KRAS
1.0	5.03673076923077	ATM	TP53
1.0	4.941698113207548	NCKAP1	TP53
1.0	4.850185185185186	RNF6	KRAS
1.0	4.7620000000000005	RPE	TP53
1.0	4.676964285714286	COL14A1	PTK2
1.0	4.594912280701755	LAMA3	KRAS
1.0	4.515689655172414	ATP2A3	KRAS
1.0	4.439152542372882	DCP2	TP53
1.0	4.365166666666667	UBA2	KRAS
1.0	4.29360655737705	UTP20	TP53
1.0	4.224354838709678	KLF4	TP53
1.0	4.157301587301587	ADAR	TP53
1.0	4.09234375	ZBTB33	KRAS
1.0	4.029384615384616	LZTS2	TP53
1.0	3.9683333333333337	HIP1R	APC
1.0	3.909104477611941	TCOF1	USP7
1.0	3.851617647058824	CCNT1	TP53
1.0	3.7957971014492755	MLH1	KRAS
1.0	3.741571428571429	PDIA5	TP53
1.0	3.68887323943662	ZEB2	TP53
1.0	3.637638888888889	CD151	CDH11
1.0	3.5878082191780827	TTLL3	PRKCA
1.0	3.539324324324325	RNGTT	KRAS
