Score	q-val	Members
1.0	262.83	XRCC4	TP53
1.0	131.415	LTBP2	KRAS
1.0	87.61	UTRN	TP53
1.0	65.7075	NAA15	PRKCA
1.0	52.565999999999995	HIRA	TP53
1.0	43.805	EPT1	KRAS
1.0	37.54714285714285	ITSN1	TP53
1.0	32.85375	XRCC1	CDH11
1.0	29.203333333333333	MAP3K4	TP53
1.0	26.282999999999998	GBF1	KRAS
1.0	23.89363636363636	PLOD2	KRAS
1.0	21.9025	APOE	TP53
1.0	20.217692307692307	CD46	TP53
1.0	18.773571428571426	CFH	TP53
1.0	17.522	PIK3CA	TP53
1.0	16.426875	VPS13A	ABCB1
1.0	15.460588235294116	SUPT5H	TP53
1.0	14.601666666666667	RAPGEF2	KRAS
1.0	13.833157894736841	MAP2K6	TP53
1.0	13.141499999999999	WWOX	CDH11
1.0	12.515714285714285	MAGI3	KRAS
1.0	11.94681818181818	BRAF	KRAS
1.0	11.427391304347825	VANGL2	KRAS
1.0	10.95125	LIG3	XRCC4
1.0	10.5132	VPS41	TP53
1.0	10.108846153846153	FRY	TP53
1.0	9.734444444444444	DCLRE1A	TP53
1.0	9.386785714285713	ADAMTS9	TP53
1.0	9.06310344827586	DCAF7	KRAS
1.0	8.761	HUWE1	KRAS
1.0	8.478387096774194	ARL8B	TP53
1.0	8.2134375	TDRD3	APC
1.0	7.964545454545454	UBA6	TP53
1.0	7.730294117647058	ARFGEF1	FOXO4
1.0	7.509428571428571	KRAS	TP53
1.0	7.300833333333333	ACD	KRAS
1.0	7.103513513513513	DMD	TP53
1.0	6.9165789473684205	CDC40	RANBP2
1.0	6.739230769230769	IDH2	CDH11
1.0	6.570749999999999	GCNT1	TP53
1.0	6.4104878048780485	COL18A1	CDH11
1.0	6.257857142857143	RECQL5	KRAS
1.0	6.112325581395348	DENND1A	KRAS
1.0	5.97340909090909	TRIO	TP53
1.0	5.8406666666666665	PTPN13	KRAS
1.0	5.713695652173913	ATP11A	DDX58
1.0	5.592127659574468	ARFIP1	TP53
1.0	5.475625	ACACB	APC
1.0	5.3638775510204075	CD63	TP53
1.0	5.2566	CDC27	TP53
1.0	5.153529411764706	S100A13	KRAS
1.0	5.054423076923077	ATM	TP53
1.0	4.959056603773584	NCKAP1	TP53
1.0	4.867222222222222	RNF6	KRAS
1.0	4.778727272727273	RPE	TP53
1.0	4.6933928571428565	COL14A1	PTK2
1.0	4.611052631578947	LAMA3	KRAS
1.0	4.53155172413793	ATP2A3	KRAS
1.0	4.454745762711864	DCP2	TP53
1.0	4.3805	UBA2	KRAS
1.0	4.308688524590163	UTP20	TP53
1.0	4.239193548387097	KLF4	TP53
1.0	4.171904761904762	ADAR	TP53
1.0	4.10671875	ZBTB33	KRAS
1.0	4.0435384615384615	LZTS2	TP53
1.0	3.982272727272727	HIP1R	APC
1.0	3.9228358208955223	TCOF1	USP7
1.0	3.865147058823529	CCNT1	TP53
1.0	3.8091304347826083	MLH1	KRAS
1.0	3.7547142857142854	PDIA5	TP53
1.0	3.7018309859154925	ZEB2	TP53
1.0	3.6504166666666666	CD151	CDH11
1.0	3.6004109589041096	TTLL3	PRKCA
1.0	3.5517567567567565	RNGTT	KRAS
1.0	3.5044	FANCM	KRAS
1.0	3.4582894736842102	WDR36	KRAS
1.0	3.413376623376623	HIF1AN	KRAS
1.0	3.3696153846153845	DNAJC14	KRAS
1.0	3.3269620253164556	XYLT1	TP53
1.0	3.2853749999999997	GBAS	SF1
1.0	3.2448148148148146	COPB1	TP53
1.0	3.2052439024390242	KIAA1033	CFH
1.0	3.1666265060240963	ARHGAP11A	TP53
1.0	3.1289285714285713	NT5E	TP53
1.0	3.0921176470588234	DOCK11	KRAS
1.0	3.056162790697674	COL11A1	ZMYM2
1.0	3.0210344827586204	USP13	APC
1.0	2.986704545454545	ZDHHC3	KRAS
1.0	2.95314606741573	RAB4A	TP53
1.0	2.9203333333333332	TP53	CDH11
1.0	2.888241758241758	SF1	TP53
1.0	2.8568478260869563	ADNP	USP7
1.0	2.8261290322580646	ARHGEF15	TP53
1.0	2.796063829787234	FLNC	TP53
1.0	2.766631578947368	MXD1	CDH11
1.0	2.7378125	ZCCHC14	SF1
1.0	2.7095876288659793	ARHGEF10	KRAS
1.0	2.6819387755102038	ELMO1	KRAS
1.0	2.654848484848485	DACT1	KRAS
1.0	2.6283	ALG10B	PRKCA
1.0	2.602277227722772	RIPK1	TP53
1.0	2.576764705882353	NUP205	KRAS
1.0	2.551747572815534	ESRP1	KRAS
1.0	2.5272115384615383	TOP3A	TP53
1.0	2.503142857142857	OSBPL10	OSBP
1.0	2.479528301886792	NUP107	KRAS
1.0	2.4563551401869157	DEGS1	KRAS
1.0	2.433611111111111	USP7	TP53
1.0	2.4112844036697245	BCMO1	FOXO4
1.0	2.3893636363636364	PHLDB1	TP53
1.0	2.3678378378378375	ALDH18A1	TP53
1.0	2.3466964285714282	GANAB	TP53
1.0	2.3259292035398227	RAB3D	TP53
1.0	2.3055263157894736	TFR2	APC
1.0	2.285478260869565	CSF1	CDH11
1.0	2.265775862068965	PPFIA1	KRAS
1.0	2.246410256410256	FPR3	KRAS
1.0	2.227372881355932	EDEM1	OSBP
1.0	2.2086554621848737	FAT4	TP53
1.0	2.19025	WIPF2	TP53
1.0	2.1721487603305785	BUB1	KRAS
1.0	2.1543442622950817	GATAD2B	KRAS
1.0	2.136829268292683	UNK	TP53
1.0	2.1195967741935484	MT1G	TP53
1.0	2.10264	UPF2	APC
1.0	2.085952380952381	COL15A1	PTK2
1.0	2.069527559055118	CYP4F12	TP53
1.0	2.053359375	ITPR1	TP53
1.0	2.0374418604651163	SOD2	TP53
1.0	2.0217692307692308	POLR3D	SF1
1.0	2.0063358778625955	PHF17	DNMT1
1.0	1.9911363636363635	GSK3A	TP53
1.0	1.9761654135338345	FYN	TP53
1.0	1.9614179104477611	STAB1	TP53
1.0	1.9468888888888887	CDH17	TP53
1.0	1.9325735294117645	KREMEN1	KRAS
1.0	1.9184671532846713	BLVRB	KRAS
1.0	1.9045652173913041	AMOT	KRAS
1.0	1.8908633093525178	PTCH1	TP53
1.0	1.8773571428571427	CDH11	TP53
1.0	1.8640425531914893	MMS19	TP53
1.0	1.8509154929577463	GNA15	ZBTB33
1.0	1.837972027972028	PLXNA3	KRAS
1.0	1.8252083333333333	AP1G2	TP53
1.0	1.8126206896551722	GNA11	KRAS
1.0	1.8002054794520548	XPO4	TP53
1.0	1.7879591836734692	ZNF451	RNF6
1.0	1.7758783783783783	MMP7	TP53
1.0	1.763959731543624	TSPAN6	KRAS
1.0	1.7522	TNFSF13	KRAS
1.0	1.7405960264900662	CNOT1	FOXO4
1.0	1.7291447368421051	TNFSF12	TP53
1.0	1.717843137254902	FOXO4	TP53
1.0	1.7066883116883116	MTHFD1L	APC
1.0	1.6956774193548385	LNX1	KRAS
1.0	1.6848076923076922	DAB2	KRAS
1.0	1.674076433121019	UNC5B	KRAS
1.0	1.6634810126582278	PACSIN2	TP53
1.0	1.6530188679245281	ANK3	KRAS
1.0	1.6426874999999999	CSF3R	KRAS
