Score	q-val	Members
1.0	226.58	XRCC4	TP53
1.0	113.29	LTBP2	TP53
1.0	75.52666666666667	UTRN	TP53
1.0	56.645	NAA15	PRKCA
1.0	45.316	HIRA	TP53
1.0	37.763333333333335	EPT1	TP53
1.0	32.36857142857143	ITSN1	TP53
1.0	28.3225	XRCC1	CDH11
1.0	25.175555555555558	MAP3K4	TP53
1.0	22.658	GBF1	KRAS
1.0	20.598181818181818	PLOD2	KRAS
1.0	18.881666666666668	APOE	TP53
1.0	17.42923076923077	CD46	TP53
1.0	16.184285714285714	CFH	TP53
1.0	15.105333333333334	PIK3CA	TP53
1.0	14.16125	VPS13A	ABCB1
1.0	13.328235294117647	SUPT5H	TP53
1.0	12.587777777777779	RAPGEF2	KRAS
1.0	11.925263157894738	MAP2K6	KRAS
1.0	11.329	WWOX	CDH11
1.0	10.78952380952381	MAGI3	KRAS
1.0	10.299090909090909	BRAF	KRAS
1.0	9.851304347826087	VANGL2	KRAS
1.0	9.440833333333334	LIG3	XRCC4
1.0	9.0632	VPS41	TP53
1.0	8.714615384615385	FRY	TP53
1.0	8.391851851851852	DCLRE1A	TP53
1.0	8.092142857142857	ADAMTS9	TP53
1.0	7.813103448275863	DCAF7	KRAS
1.0	7.552666666666667	HUWE1	KRAS
1.0	7.309032258064517	ARL8B	TP53
1.0	7.080625	TDRD3	TP53
1.0	6.866060606060606	UBA6	TP53
1.0	6.6641176470588235	KRAS	TP53
1.0	6.473714285714286	ACD	KRAS
1.0	6.2938888888888895	DMD	KRAS
1.0	6.123783783783784	IDH2	CDH11
1.0	5.962631578947369	GCNT1	TP53
1.0	5.80974358974359	COL18A1	CDH11
1.0	5.6645	RECQL5	KRAS
1.0	5.526341463414634	DENND1A	KRAS
1.0	5.394761904761905	TRIO	TP53
1.0	5.269302325581395	PTPN13	KRAS
1.0	5.149545454545454	ATP11A	DDX58
1.0	5.035111111111111	ARFIP1	TP53
1.0	4.925652173913043	ACACB	APC
1.0	4.820851063829788	CD63	TP53
1.0	4.720416666666667	CDC27	KRAS
1.0	4.624081632653062	S100A13	KRAS
1.0	4.5316	ATM	TP53
1.0	4.442745098039216	NCKAP1	TP53
1.0	4.3573076923076925	RNF6	KRAS
1.0	4.275094339622642	RPE	TP53
1.0	4.195925925925926	LAMA3	KRAS
1.0	4.1196363636363635	ATP2A3	KRAS
1.0	4.0460714285714285	DCP2	TP53
1.0	3.9750877192982457	UBA2	KRAS
1.0	3.9065517241379313	UTP20	TP53
1.0	3.840338983050848	KLF4	TP53
1.0	3.7763333333333335	ADAR	TP53
1.0	3.714426229508197	ZBTB33	KRAS
1.0	3.6545161290322583	HIP1R	APC
1.0	3.596507936507937	TCOF1	USP7
1.0	3.5403125	CCNT1	TP53
1.0	3.485846153846154	MLH1	KRAS
1.0	3.433030303030303	PDIA5	TP53
1.0	3.3817910447761195	ZEB2	TP53
1.0	3.3320588235294117	CD151	CDH11
1.0	3.283768115942029	TTLL3	PRKCA
1.0	3.236857142857143	RNGTT	KRAS
1.0	3.191267605633803	FANCM	TP53
1.0	3.1469444444444448	WDR36	KRAS
1.0	3.1038356164383565	HIF1AN	KRAS
1.0	3.061891891891892	DNAJC14	KRAS
1.0	3.021066666666667	XYLT1	TP53
1.0	2.9813157894736846	COPB1	TP53
1.0	2.9425974025974027	KIAA1033	CFH
1.0	2.904871794871795	ARHGAP11A	TP53
1.0	2.868101265822785	NT5E	TP53
1.0	2.83225	DOCK11	KRAS
1.0	2.797283950617284	USP13	APC
1.0	2.763170731707317	ZDHHC3	KRAS
1.0	2.7298795180722895	RAB4A	TP53
1.0	2.6973809523809527	TP53	CDH11
1.0	2.6656470588235295	ADNP	USP7
1.0	2.6346511627906977	ARHGEF15	TP53
1.0	2.6043678160919543	FLNC	TP53
1.0	2.574772727272727	MXD1	CDH11
1.0	2.545842696629214	ARHGEF10	KRAS
1.0	2.5175555555555555	ELMO1	KRAS
1.0	2.48989010989011	DACT1	KRAS
1.0	2.4628260869565217	ALG10B	RAB4A
1.0	2.4363440860215055	RIPK1	TP53
1.0	2.410425531914894	TOP3A	TP53
1.0	2.3850526315789473	ESRP1	TP53
1.0	2.3602083333333335	OSBPL10	OSBP
1.0	2.335876288659794	DEGS1	KRAS
