Score	q-val	Members
1.0	373.0	XRCC4	TP53
1.0	186.5	LTBP2	KRAS
1.0	124.33333333333333	VKORC1L1	KRAS
1.0	93.25	ZNF57	KRAS
1.0	74.6	UTRN	TP53
1.0	62.166666666666664	HIRA	TP53
1.0	53.285714285714285	NAA15	KCNK13
1.0	46.625	LUZP1	KRAS
1.0	41.44444444444444	EPT1	KRAS
1.0	37.3	SIDT1	KRAS
1.0	33.90909090909091	XRCC1	KCNK13
1.0	31.083333333333332	ITSN1	TP53
1.0	28.692307692307693	USP53	KRAS
1.0	26.642857142857142	MAP3K4	KRAS
1.0	24.866666666666667	GBF1	KRAS
1.0	23.3125	BTBD1	KRAS
1.0	21.941176470588236	PLOD2	KRAS
1.0	20.72222222222222	APOE	TP53
1.0	19.63157894736842	CD46	KRAS
1.0	18.65	CFH	TP53
1.0	17.761904761904763	PIK3CA	TP53
1.0	16.954545454545453	VPS13A	L2HGDH
1.0	16.217391304347824	RAPGEF2	KRAS
1.0	15.541666666666666	SUPT5H	KRAS
1.0	14.92	MAP2K6	KRAS
1.0	14.346153846153847	WWOX	KCNK13
1.0	13.814814814814815	MAGI3	KRAS
1.0	13.321428571428571	BRAF	KRAS
1.0	12.862068965517242	PCID2	KRAS
1.0	12.433333333333334	VANGL2	KRAS
1.0	12.03225806451613	LIG3	KCNK13
1.0	11.65625	EXD3	TP53
1.0	11.303030303030303	VPS41	KRAS
1.0	10.970588235294118	C1orf66	KRAS
1.0	10.657142857142857	WDR91	KRAS
1.0	10.36111111111111	PCLO	TP53
1.0	10.08108108108108	FRY	KRAS
1.0	9.81578947368421	ADAMTS9	TP53
1.0	9.564102564102564	DCLRE1A	KRAS
1.0	9.325	DCAF7	KRAS
1.0	9.097560975609756	PARP12	KRAS
1.0	8.880952380952381	HUWE1	KRAS
1.0	8.674418604651162	CNTROB	KRAS
1.0	8.477272727272727	ARL8B	KRAS
1.0	8.28888888888889	EPS8L2	TP53
1.0	8.108695652173912	SUPT6H	KRAS
1.0	7.9361702127659575	KIAA0947	TP53
1.0	7.770833333333333	TDRD3	TP53
1.0	7.612244897959184	ARV1	KCNK13
1.0	7.46	ACADSB	KRAS
1.0	7.313725490196078	CCDC99	KRAS
1.0	7.173076923076923	STK11IP	KRAS
1.0	7.037735849056604	UBA6	KRAS
1.0	6.907407407407407	ARFGEF1	KRAS
1.0	6.781818181818182	KRAS	KCNK13
1.0	6.660714285714286	ZNF226	KCNK13
1.0	6.543859649122807	ACD	KRAS
1.0	6.431034482758621	DMD	KRAS
1.0	6.322033898305085	DDX60L	KRAS
1.0	6.216666666666667	CDC40	KRAS
1.0	6.114754098360656	IDH2	KCNK13
1.0	6.016129032258065	FAM162A	KRAS
1.0	5.920634920634921	GCNT1	TP53
1.0	5.828125	COL18A1	KCNK13
1.0	5.7384615384615385	PHYHIPL	KCNK13
1.0	5.651515151515151	RECQL5	KRAS
1.0	5.567164179104478	DENND1A	KRAS
1.0	5.485294117647059	TRIO	TP53
1.0	5.405797101449275	PTPN13	KRAS
1.0	5.328571428571428	ATP11A	KCNK13
1.0	5.253521126760563	ARFIP1	KRAS
1.0	5.180555555555555	ACACB	TP53
1.0	5.109589041095891	CD63	TP53
1.0	5.04054054054054	CDC27	KRAS
1.0	4.973333333333334	SFMBT1	KRAS
1.0	4.907894736842105	ATM	TP53
1.0	4.8441558441558445	S100A13	KRAS
1.0	4.782051282051282	NCKAP1	KRAS
1.0	4.7215189873417724	METTL13	KRAS
1.0	4.6625	RPE	TP53
1.0	4.604938271604938	RNF6	KRAS
1.0	4.548780487804878	LAMA3	KRAS
1.0	4.493975903614458	COL14A1	KRAS
1.0	4.440476190476191	C12orf51	KRAS
1.0	4.3882352941176475	DCP2	KRAS
1.0	4.337209302325581	ATP2A3	KRAS
1.0	4.287356321839081	UBA2	KRAS
1.0	4.238636363636363	UTP20	TP53
1.0	4.191011235955056	KLF4	TP53
1.0	4.144444444444445	ADAR	TP53
1.0	4.0989010989010985	ABCF1	KRAS
1.0	4.054347826086956	LZTS2	KRAS
