Score	q-val	Members
1.0	151.76	XRCC4	APC
1.0	75.88	PLXNA3	KRAS
1.0	50.586666666666666	GNA15	PLXNA3
1.0	37.94	CADM4	GNA15
1.0	30.351999999999997	GNA11	KRAS
1.0	25.293333333333333	UTRN	APC
1.0	21.68	PTGS1	IFIH1
1.0	18.97	ZNF451	TG
1.0	16.862222222222222	NAA15	PRKCA
1.0	15.175999999999998	HIRA	APC
1.0	13.796363636363635	MMP7	TP53
1.0	12.646666666666667	ITSN1	TP53
1.0	11.673846153846153	XRCC1	TG
1.0	10.84	SETX	PRKCA
1.0	10.117333333333333	DAB2	KRAS
1.0	9.485	APOE	TP53
1.0	8.92705882352941	ROBO1	IFIH1
1.0	8.431111111111111	RAPGEF6	PRKCA
1.0	7.987368421052631	CFH	TP53
1.0	7.587999999999999	PIK3CA	TP53
1.0	7.226666666666667	VPS13A	ABCB1
1.0	6.8981818181818175	RBM10	CFLAR
1.0	6.598260869565217	WWOX	XRCC4
1.0	6.323333333333333	MAGI3	KRAS
1.0	6.070399999999999	VANGL2	KRAS
1.0	5.836923076923076	LIG3	TG
1.0	5.62074074074074	STIM2	KRAS
1.0	5.42	GPR132	KRAS
1.0	5.233103448275862	ADAMTS9	APC
1.0	5.058666666666666	TNS1	PIK3CA
1.0	4.895483870967742	ATP9A	ATP11A
1.0	4.7425	RNF20	KRAS
1.0	4.598787878787879	FBXO10	SMC2
1.0	4.463529411764705	TDRD3	TP53
1.0	4.335999999999999	IFIH1	KRAS
1.0	4.2155555555555555	STK10	TP53
1.0	4.1016216216216215	ERBB2	XRCC4
1.0	3.9936842105263155	AHCTF1	XRCC4
1.0	3.891282051282051	ITGB2	XRCC4
1.0	3.7939999999999996	ABCA1	PLXNA3
1.0	3.701463414634146	AKAP11	PRKCA
1.0	3.6133333333333333	FBXW7	XRCC4
1.0	3.529302325581395	PTK2	KRAS
1.0	3.4490909090909088	KRAS	IFIH1
1.0	3.372444444444444	IDH2	TG
1.0	3.2991304347826085	LEO1	XRCC4
1.0	3.2289361702127657	TRAF5	APC
1.0	3.1616666666666666	GCNT1	TP53
1.0	3.097142857142857	HECTD1	SF1
1.0	3.0351999999999997	COL18A1	XRCC4
1.0	2.975686274509804	CFLAR	PLXNA3
1.0	2.918461538461538	SMCHD1	TP53
1.0	2.863396226415094	RECQL5	KRAS
1.0	2.81037037037037	TAF6	PRKCA
1.0	2.759272727272727	TTC21B	KRAS
1.0	2.71	MYO1B	KRAS
1.0	2.662456140350877	LPP	KRAS
1.0	2.616551724137931	DENND1A	TBC1D24
1.0	2.5722033898305083	EPHX1	TP53
1.0	2.529333333333333	ATP11A	IFIH1
1.0	2.4878688524590165	TRIO	APC
1.0	2.447741935483871	ABCB1	APC
1.0	2.408888888888889	ACACB	TP53
1.0	2.37125	CD63	TP53
1.0	2.3347692307692305	ATM	TP53
1.0	2.2993939393939393	MPRIP	TG
1.0	2.2650746268656716	TBC1D24	KRAS
1.0	2.2317647058823527	RPE	TP53
1.0	2.1994202898550723	LAMA3	KRAS
1.0	2.1679999999999997	ATP2A3	KRAS
1.0	2.137464788732394	UBA2	KRAS
1.0	2.1077777777777778	ITGA7	TP53
1.0	2.078904109589041	MCPH1	COL18A1
1.0	2.0508108108108107	DNMT1	XRCC4
1.0	2.0234666666666667	UTP20	TP53
1.0	1.9968421052631578	KLF4	TP53
1.0	1.9709090909090907	ADAR	TP53
1.0	1.9456410256410255	OSBP	APC
1.0	1.921012658227848	SEPHS1	XRCC4
1.0	1.8969999999999998	ELF3	XRCC4
1.0	1.87358024691358	COPS5	XRCC4
1.0	1.850731707317073	HIP1R	TP53
1.0	1.828433734939759	TCOF1	PRKCA
1.0	1.8066666666666666	PDIA5	TP53
1.0	1.7854117647058823	CD151	XRCC4
1.0	1.7646511627906976	TTLL3	PRKCA
1.0	1.744367816091954	KIF2C	TG
1.0	1.7245454545454544	RANBP9	GNA15
1.0	1.7051685393258427	DNAJC14	KRAS
1.0	1.686222222222222	COPB1	TP53
1.0	1.6676923076923076	RANBP2	KRAS
1.0	1.6495652173913042	ARHGAP11A	TP53
1.0	1.6318279569892473	DOCK11	KRAS
1.0	1.6144680851063828	COL11A1	PTK2
1.0	1.5974736842105262	USP13	TP53
1.0	1.5808333333333333	PRKCA	KRAS
1.0	1.5645360824742267	SGK3	CSF1
1.0	1.5485714285714285	SOX13	APOE
1.0	1.5329292929292928	STX2	XRCC4
1.0	1.5175999999999998	SF1	TP53
1.0	1.5025742574257426	TP53	XRCC4
1.0	1.487843137254902	ADNP	PRKCA
1.0	1.473398058252427	IPO8	SF1
1.0	1.459230769230769	ARHGEF15	APC
1.0	1.4453333333333331	MXD1	PRKCA
1.0	1.431698113207547	DAPK1	GNA15
1.0	1.4183177570093457	ELMO1	KRAS
1.0	1.405185185185185	CD3EAP	TG
1.0	1.3922935779816512	ALG10B	PRKCA
1.0	1.3796363636363635	PRKD3	PRKCA
1.0	1.3672072072072072	DPF2	PIK3CA
1.0	1.355	TG	XRCC4
1.0	1.343008849557522	PHLDB1	TP53
1.0	1.3312280701754384	CSF1	OSBP
1.0	1.3196521739130433	TFR2	APC
1.0	1.3082758620689654	FPR3	KRAS
1.0	1.297094017094017	EHBP1L1	KRAS
1.0	1.2861016949152542	SMUG1	TG
1.0	1.2752941176470587	EDEM1	PRKCA
1.0	1.2646666666666666	CALCOCO1	PRKCA
1.0	1.2542148760330578	GPHN	XRCC4
1.0	1.2439344262295082	FAT4	TP53
1.0	1.233821138211382	CENPB	DNMT1
1.0	1.2238709677419355	LANCL2	PRKCA
1.0	1.2140799999999998	CAMK2D	KRAS
1.0	1.2044444444444444	RAB11B	XRCC4
1.0	1.1949606299212598	CHD1	FBXW7
1.0	1.185625	UNK	TP53
1.0	1.1764341085271317	TNRC6B	TP53
1.0	1.1673846153846152	NSUN2	KRAS
1.0	1.158473282442748	APC	XRCC4
1.0	1.1496969696969697	TCIRG1	TP53
1.0	1.1410526315789473	ALPK1	KRAS
1.0	1.1325373134328358	UPF2	TP53
1.0	1.1241481481481481	CENPF	KIF2C
1.0	1.1158823529411763	PRR5L	KRAS
1.0	1.1077372262773721	COL5A2	PTK2
1.0	1.0997101449275362	SMC2	XRCC4
1.0	1.091798561151079	ITPR1	APC
1.0	1.0839999999999999	FZD6	PLXNA3
1.0	1.0763120567375886	CADPS	APOE
1.0	1.068732394366197	PRLR	GNA15
1.0	1.061258741258741	PHF14	PIK3CA
1.0	1.0538888888888889	CDH17	TP53
1.0	1.0466206896551724	BLVRB	KRAS
1.0	1.0394520547945205	NFIC	GNA15
1.0	1.0323809523809524	MUC17	PRKCA
1.0	1.0254054054054054	CDH11	APC
