Score	q-val	Members
1.0	151.96	XRCC4	APC
1.0	75.98	PLXNA3	KRAS
1.0	50.653333333333336	GNA15	PLXNA3
1.0	37.99	CADM4	GNA15
1.0	30.392000000000003	GNA11	KRAS
1.0	25.326666666666668	ZNF451	TG
1.0	21.708571428571428	PTGS1	IFIH1
1.0	18.995	UTRN	APC
1.0	16.884444444444444	MMP7	TP53
1.0	15.196000000000002	NAA15	PRKCA
1.0	13.814545454545454	HIRA	APC
1.0	12.663333333333334	XRCC1	TG
1.0	11.68923076923077	ITSN1	TP53
1.0	10.854285714285714	SETX	PRKCA
1.0	10.130666666666666	DAB2	KRAS
1.0	9.4975	ROBO1	IFIH1
1.0	8.938823529411765	APOE	TP53
1.0	8.442222222222222	RAPGEF6	PRKCA
1.0	7.997894736842106	CFH	TP53
1.0	7.598000000000001	PIK3CA	TP53
1.0	7.236190476190477	VPS13A	ABCB1
1.0	6.907272727272727	RBM10	CFLAR
1.0	6.60695652173913	WWOX	XRCC4
1.0	6.331666666666667	MAGI3	KRAS
1.0	6.0784	VANGL2	KRAS
1.0	5.844615384615385	STIM2	KRAS
1.0	5.628148148148148	LIG3	TG
1.0	5.427142857142857	GPR132	KRAS
1.0	5.24	ADAMTS9	APC
1.0	5.065333333333333	TNS1	PIK3CA
1.0	4.901935483870968	ATP9A	ATP11A
1.0	4.74875	RNF20	KRAS
1.0	4.604848484848485	FBXO10	SMC2
1.0	4.469411764705883	TDRD3	TP53
1.0	4.341714285714286	IFIH1	KRAS
1.0	4.221111111111111	ERBB2	XRCC4
1.0	4.107027027027027	STK10	TP53
1.0	3.998947368421053	AHCTF1	XRCC4
1.0	3.8964102564102565	ITGB2	XRCC4
1.0	3.7990000000000004	ABCA1	PLXNA3
1.0	3.7063414634146343	AKAP11	PRKCA
1.0	3.6180952380952385	FBXW7	XRCC4
1.0	3.5339534883720933	PTK2	KRAS
1.0	3.4536363636363636	KRAS	IFIH1
1.0	3.3768888888888893	IDH2	TG
1.0	3.303478260869565	LEO1	XRCC4
1.0	3.2331914893617024	TRAF5	APC
1.0	3.1658333333333335	GCNT1	TP53
1.0	3.1012244897959187	HECTD1	SF1
1.0	3.0392	COL18A1	XRCC4
1.0	2.9796078431372552	CFLAR	PLXNA3
1.0	2.9223076923076925	RECQL5	KRAS
1.0	2.8671698113207547	SMCHD1	TP53
1.0	2.814074074074074	TAF6	PRKCA
1.0	2.762909090909091	LPP	KRAS
1.0	2.7135714285714285	TTC21B	KRAS
1.0	2.665964912280702	MYO1B	KRAS
1.0	2.62	DENND1A	TBC1D24
1.0	2.575593220338983	EPHX1	TP53
1.0	2.5326666666666666	ATP11A	IFIH1
1.0	2.4911475409836066	TRIO	APC
1.0	2.450967741935484	ABCB1	APC
1.0	2.412063492063492	ACACB	TP53
1.0	2.374375	CD63	TP53
1.0	2.337846153846154	ATM	TP53
1.0	2.3024242424242427	MPRIP	TG
1.0	2.2680597014925374	TBC1D24	KRAS
1.0	2.2347058823529413	RPE	TP53
1.0	2.2023188405797103	LAMA3	KRAS
1.0	2.170857142857143	ATP2A3	KRAS
1.0	2.1402816901408452	UBA2	KRAS
1.0	2.1105555555555555	ITGA7	TP53
1.0	2.0816438356164384	MCPH1	COL18A1
1.0	2.0535135135135136	DNMT1	XRCC4
1.0	2.0261333333333336	UTP20	TP53
1.0	1.9994736842105265	KLF4	TP53
1.0	1.9735064935064937	ADAR	TP53
1.0	1.9482051282051283	OSBP	APC
1.0	1.9235443037974684	SEPHS1	XRCC4
1.0	1.8995000000000002	COPS5	XRCC4
1.0	1.8760493827160494	ELF3	XRCC4
1.0	1.8531707317073172	HIP1R	TP53
1.0	1.830843373493976	TCOF1	PRKCA
1.0	1.8090476190476192	PDIA5	TP53
1.0	1.7877647058823531	CD151	XRCC4
1.0	1.7669767441860467	TTLL3	PRKCA
1.0	1.7466666666666668	KIF2C	TG
1.0	1.7268181818181818	RANBP9	GNA15
1.0	1.7074157303370787	DNAJC14	KRAS
1.0	1.6884444444444446	COPB1	TP53
1.0	1.66989010989011	RANBP2	KRAS
1.0	1.6517391304347826	ARHGAP11A	TP53
1.0	1.633978494623656	DOCK11	KRAS
1.0	1.6165957446808512	COL11A1	PTK2
1.0	1.5995789473684212	USP13	TP53
1.0	1.5829166666666667	PRKCA	KRAS
1.0	1.56659793814433	SOX13	APOE
1.0	1.5506122448979593	STX2	XRCC4
1.0	1.534949494949495	SGK3	CSF1
1.0	1.5196	SF1	TP53
1.0	1.5045544554455446	TP53	XRCC4
1.0	1.4898039215686276	ADNP	PRKCA
1.0	1.4753398058252427	ARHGEF15	APC
1.0	1.4611538461538462	IPO8	SF1
1.0	1.4472380952380952	MXD1	PRKCA
1.0	1.4335849056603773	DAPK1	GNA15
1.0	1.4201869158878506	ELMO1	KRAS
1.0	1.407037037037037	CD3EAP	TG
1.0	1.3941284403669725	ALG10B	PRKCA
1.0	1.3814545454545455	PRKD3	PRKCA
1.0	1.369009009009009	TG	XRCC4
1.0	1.3567857142857143	DPF2	PIK3CA
1.0	1.344778761061947	PHLDB1	TP53
1.0	1.332982456140351	CSF1	OSBP
1.0	1.3213913043478263	TFR2	APC
1.0	1.31	FPR3	KRAS
1.0	1.2988034188034188	EHBP1L1	KRAS
1.0	1.2877966101694915	EDEM1	PRKCA
1.0	1.2769747899159665	SMUG1	TG
1.0	1.2663333333333333	CALCOCO1	PRKCA
1.0	1.2558677685950415	GPHN	XRCC4
1.0	1.2455737704918033	FAT4	TP53
1.0	1.2354471544715449	CENPB	DNMT1
1.0	1.225483870967742	LANCL2	PRKCA
1.0	1.21568	CAMK2D	KRAS
1.0	1.206031746031746	RAB11B	XRCC4
1.0	1.1965354330708662	CHD1	FBXW7
1.0	1.1871875	UNK	TP53
1.0	1.177984496124031	TNRC6B	TP53
1.0	1.168923076923077	NSUN2	KRAS
1.0	1.1600000000000001	APC	XRCC4
1.0	1.1512121212121214	TCIRG1	TP53
1.0	1.1425563909774437	UPF2	TP53
1.0	1.1340298507462687	ALPK1	KRAS
1.0	1.1256296296296298	CENPF	KIF2C
1.0	1.1173529411764707	PRR5L	KRAS
1.0	1.1091970802919708	COL5A2	PTK2
1.0	1.1011594202898551	SMC2	XRCC4
1.0	1.0932374100719424	ITPR1	APC
1.0	1.0854285714285714	FZD6	PLXNA3
1.0	1.0777304964539007	CADPS	APOE
1.0	1.0701408450704226	PRLR	GNA15
1.0	1.0626573426573427	PHF14	PIK3CA
1.0	1.0552777777777778	CDH17	TP53
1.0	1.048	BLVRB	KRAS
1.0	1.0408219178082192	NFIC	GNA15
1.0	1.0337414965986396	MUC17	PRKCA
1.0	1.0267567567567568	CDH11	APC
