Score	q-val	Members
1.0	142.66	XRCC4	APC
1.0	71.33	GNA15	PLXNA3
1.0	47.553333333333335	PLXNA3	KRAS
1.0	35.665	CADM4	GNA15
1.0	28.532	GNA11	KRAS
1.0	23.776666666666667	UTRN	APC
1.0	20.38	PTGS1	PRKCA
1.0	17.8325	ZNF451	TG
1.0	15.851111111111111	HIRA	APC
1.0	14.266	NAA15	PRKCA
1.0	12.969090909090909	MMP7	TP53
1.0	11.888333333333334	XRCC1	TG
1.0	10.973846153846154	ITSN1	TP53
1.0	10.19	SETX	PRKCA
1.0	9.510666666666667	DAB2	KRAS
1.0	8.91625	APOE	TP53
1.0	8.391764705882352	ROBO1	IFIH1
1.0	7.9255555555555555	CFH	TP53
1.0	7.508421052631578	RAPGEF6	RPE
1.0	7.133	PIK3CA	TP53
1.0	6.793333333333333	VPS13A	ABCB1
1.0	6.484545454545454	WWOX	XRCC4
1.0	6.202608695652174	MAGI3	KRAS
1.0	5.944166666666667	VANGL2	KRAS
1.0	5.7063999999999995	LIG3	TG
1.0	5.486923076923077	STIM2	KRAS
1.0	5.283703703703703	GPR132	KRAS
1.0	5.095	ADAMTS9	APC
1.0	4.919310344827586	TNS1	PIK3CA
1.0	4.755333333333334	ATP9A	ATP11A
1.0	4.601935483870967	RNF20	KRAS
1.0	4.458125	FBXO10	SMC2
1.0	4.323030303030303	TDRD3	TP53
1.0	4.195882352941176	IFIH1	KRAS
1.0	4.076	ERBB2	XRCC4
1.0	3.9627777777777777	STK10	TP53
1.0	3.8556756756756756	AHCTF1	XRCC4
1.0	3.754210526315789	ITGB2	XRCC4
1.0	3.657948717948718	ABCA1	PLXNA3
1.0	3.5665	AKAP11	PRKCA
1.0	3.479512195121951	PTK2	KRAS
1.0	3.3966666666666665	FBXW7	XRCC4
1.0	3.317674418604651	KRAS	IFIH1
1.0	3.242272727272727	IDH2	TG
1.0	3.1702222222222223	LEO1	XRCC4
1.0	3.101304347826087	TRAF5	APC
1.0	3.03531914893617	GCNT1	TP53
1.0	2.9720833333333334	COL18A1	XRCC4
