Score	q-val	Members
0.9553706505295008	17.03	AP1G1	CLTC
0.9553706505295008	8.515	CLTC	AP1G1
0.9980867346938775	6.706666666666667	NUAK2	SAV1
0.9980867346938775	5.03	SAV1	NUAK2
1.0	38.698	ADCY3	NRG1
1.0	32.248333333333335	ATP1B1	NFE2L2
1.0	27.641428571428573	LTBP1	TP53
1.0	24.18625	VAPB	COL4A3BP
1.0	21.49888888888889	STOML2	REPIN1
1.0	19.349	ITSN2	MET
1.0	17.59	CITED2	REPIN1
1.0	16.124166666666667	CUL3	REPIN1
1.0	14.883846153846154	ACTG1	HTT
1.0	13.820714285714287	MAP3K7	TP53
1.0	12.899333333333335	INCENP	STAG2
1.0	12.093125	COL4A3BP	CEBPA
1.0	11.381764705882354	WWP1	HTT
1.0	10.749444444444444	KCNK5	REPIN1
1.0	10.183684210526316	STAG2	INCENP
1.0	9.6745	TYRO3	XBP1
1.0	9.213809523809525	F12	CEBPA
1.0	8.795	PTPRM	CTNNA1
1.0	8.412608695652175	CIZ1	TP53
1.0	8.062083333333334	OPTN	ACTB
1.0	7.7396	CTNNA1	MET
1.0	7.441923076923077	MARK3	PRKCI
1.0	7.166296296296297	FARP2	MET
1.0	6.910357142857143	RFC5	NOTCH1
1.0	6.672068965517242	PCF11	REPIN1
1.0	6.449666666666667	EIF2AK1	CREBBP
1.0	6.241612903225807	PRDM9	ARID1A
1.0	6.0465625	MED16	CREBBP
1.0	5.863333333333333	ACAP1	MET
1.0	5.690882352941177	MAPK7	SKI
1.0	5.5282857142857145	GIGYF2	REPIN1
1.0	5.374722222222222	ADD1	XBP1
1.0	5.22945945945946	DBNDD1	REPIN1
1.0	5.091842105263158	PTH1R	TP53
1.0	4.961282051282051	POMZP3	TP53
1.0	4.83725	NFKBIA	TNFSF10
1.0	4.719268292682927	ANGEL1	REPIN1
1.0	4.6069047619047625	KRAS	MET
1.0	4.499767441860465	NUP50	TP53
1.0	4.3975	PBRM1	ARID1A
1.0	4.299777777777778	RCHY1	TP53
1.0	4.206304347826087	ARHGEF10L	MET
1.0	4.116808510638298	COL18A1	TNFSF10
1.0	4.031041666666667	DNMT3A	ARID1A
1.0	3.948775510204082	MAML1	MAML2
1.0	3.8698	CREBBP	KDM6A
1.0	3.793921568627451	AGBL5	REPIN1
1.0	3.7209615384615384	MAML2	SKI
1.0	3.6507547169811323	TRIO	MET
1.0	3.5831481481481484	SKI	MAML2
1.0	3.5180000000000002	CDC20	STAG2
1.0	3.4551785714285717	CDC27	PSMD1
1.0	3.394561403508772	NOTCH1	MET
1.0	3.336034482758621	DMTF1	REPIN1
1.0	3.279491525423729	TSGA10	RUNX2
1.0	3.2248333333333337	RERE	CEBPA
1.0	3.1719672131147543	ELF3	MAPK7
1.0	3.1208064516129035	AP1B1	CLTC
1.0	3.0712698412698414	CPEB4	REPIN1
1.0	3.02328125	MITF	NOTCH1
1.0	2.976769230769231	VPS37D	ADAM17
1.0	2.9316666666666666	MLH3	CEBPA
