Score	q-val	Members
0.9414182939362795	6.44	AP1G1	CLTC
0.9414182939362795	3.22	CLTC	AP1G1
0.9640330188679245	2.533333333333333	ADAM17	CLTC	PRKCI
1.0	45.1	ADCY3	NRG1
1.0	36.08	ATP1B1	NFE2L2
1.0	30.066666666666666	LTBP1	TP53
1.0	25.771428571428572	AP1G2	TP53
1.0	22.55	VAPB	COL4A3BP
1.0	20.044444444444444	PASK	REPIN1
1.0	18.04	STOML2	REPIN1
1.0	16.400000000000002	ITSN2	MET
1.0	15.033333333333333	MAP3K7	TP53
1.0	13.876923076923077	ACTG1	HTT
1.0	12.885714285714286	CUL3	REPIN1
1.0	12.026666666666667	UQCR10	GSN
1.0	11.275	CDKN2B	NOTCH1
1.0	10.611764705882353	PAPPA	CTNNA1
1.0	10.022222222222222	WWP1	HTT
1.0	9.494736842105263	COL4A3BP	CEBPA
1.0	9.02	INCENP	STAG2
1.0	8.59047619047619	KCNK5	REPIN1
1.0	8.200000000000001	PITPNC1	TP53
1.0	7.843478260869565	ANKZF1	REPIN1
1.0	7.516666666666667	STAG2	INCENP
1.0	7.216	F12	CEBPA
1.0	6.938461538461539	TYRO3	XBP1
1.0	6.681481481481482	ATG9A	REPIN1
1.0	6.442857142857143	PTPRM	CTNNA1
1.0	6.220689655172414	CIZ1	TP53
1.0	6.013333333333334	BAIAP2	PTEN
1.0	5.819354838709677	PCTP	CEBPA
1.0	5.6375	ARID1A	ACTB
1.0	5.466666666666667	OPTN	ACTB
1.0	5.305882352941176	CTNNA1	MET
1.0	5.154285714285715	FARP2	MET
1.0	5.011111111111111	RFC5	NOTCH1
1.0	4.875675675675676	PCF11	REPIN1
1.0	4.747368421052632	PRDM9	ARID1A
1.0	4.625641025641026	EIF2AK1	CREBBP
1.0	4.51	MED16	CREBBP
1.0	4.4	ACAP1	MET
1.0	4.295238095238095	MAPK7	SKI
1.0	4.195348837209303	NFE2L2	HTT
1.0	4.1000000000000005	GIGYF2	REPIN1
1.0	4.008888888888889	SLC40A1	CEBPA
1.0	3.9217391304347826	ADD1	XBP1
1.0	3.8382978723404255	DBNDD1	REPIN1
