Score	q-val	Members
1.0	500.0	CYP2D6	CDC27
1.0	250.0	XRCC6	MLL3
1.0	166.66666666666666	ASCC1	BAP1
1.0	125.0	VPS52	BAP1
1.0	100.0	SELENBP1	BAP1
1.0	83.33333333333333	CCDC142	BAP1
1.0	71.42857142857143	MAGED1	BAP1
1.0	62.5	C20orf194	CDC27
1.0	55.55555555555556	TLK2	CDC27
1.0	50.0	MTERFD3	BAP1
1.0	45.45454545454545	VNN2	BAP1
1.0	41.666666666666664	STAG1	BAP1
1.0	38.46153846153846	PTPRK	BAP1
1.0	35.714285714285715	ZNF100	MLL3
1.0	33.333333333333336	RREB1	BAP1
1.0	31.25	CDHR2	CDC27
1.0	29.41176470588235	LRRC1	BAP1
1.0	27.77777777777778	MED12	BAP1
1.0	26.31578947368421	EXD3	BAP1
1.0	25.0	PCM1	BAP1
1.0	23.80952380952381	WDR90	BAP1
1.0	22.727272727272727	MARK4	BAP1
1.0	21.73913043478261	HLA-DQA1	BAP1
1.0	20.833333333333332	CTDSPL2	BAP1
1.0	20.0	ZNF500	BAP1
1.0	19.23076923076923	MAGEE1	BAP1
1.0	18.51851851851852	ASCC2	BAP1
1.0	17.857142857142858	C1orf198	CDC27
1.0	17.24137931034483	ZNF786	CDC27
1.0	16.666666666666668	RPS10	MLL3
1.0	16.129032258064516	FAM108B1	BAP1
1.0	15.625	ORAI1	CDC27
1.0	15.151515151515152	KIAA1109	MLL3
1.0	14.705882352941176	ZNF511	BAP1
1.0	14.285714285714286	ACP2	BAP1
1.0	13.88888888888889	TRPT1	BAP1
1.0	13.513513513513514	SDHAF2	BAP1
1.0	13.157894736842104	SCRIB	BAP1
1.0	12.820512820512821	DUSP18	CDC27
1.0	12.5	RPS28	BAP1
1.0	12.195121951219512	WDR55	BAP1
1.0	11.904761904761905	ATN1	BAP1
1.0	11.627906976744185	LPCAT1	BAP1
1.0	11.363636363636363	WDR52	CDC27
1.0	11.11111111111111	C19orf26	BAP1
1.0	10.869565217391305	VWA5B1	BAP1
