Score	q-val	Members
1.0	371.0	S100A4	CDKN2A
1.0	185.5	SLC36A1	CDC27
1.0	123.66666666666667	VAPB	CDKN2A
1.0	92.75	ASCC1	EPHA2
1.0	74.2	VPS52	CDKN2A
1.0	61.833333333333336	FAM105A	CDKN2A
1.0	53.0	CCDC142	CDKN2A
1.0	46.375	MAGED1	CDKN2A
1.0	41.22222222222222	CLK2	CDKN2A
1.0	37.1	C20orf194	CDC27
1.0	33.72727272727273	CREB3L4	CDKN2A
1.0	30.916666666666668	RAB25	CDKN2A
1.0	28.53846153846154	GXYLT1	EPHA2
1.0	26.5	MTERFD3	CDKN2A
1.0	24.733333333333334	VNN2	CDKN2A
1.0	23.1875	CLNS1A	CDKN2A
1.0	21.823529411764707	PTPRK	CDKN2A
1.0	20.61111111111111	RNF220	CDC27
1.0	19.526315789473685	APOA1BP	CDKN2A
1.0	18.55	POLE	PBRM1
1.0	17.666666666666668	MED12	CDKN2A
1.0	16.863636363636363	EXD3	CDKN2A
1.0	16.130434782608695	PCM1	EPHA2
1.0	15.458333333333334	ALDH16A1	CDKN2A
1.0	14.84	WDR90	CDKN2A
1.0	14.26923076923077	HLA-DQA1	CDKN2A
1.0	13.74074074074074	BTN3A1	CDKN2A
1.0	13.25	MAGEE1	CDC27
1.0	12.793103448275861	ASCC2	CDKN2A
1.0	12.366666666666667	PDGFRB	CDKN2A
1.0	11.96774193548387	PDE4DIP	MLL3
1.0	11.59375	RPS10	CDKN2A
1.0	11.242424242424242	RAB13	CDKN2A
1.0	10.911764705882353	MRPL48	CDC27
1.0	10.6	GLG1	EPHA2
1.0	10.305555555555555	ORAI1	CDKN2A
1.0	10.027027027027026	SLC2A10	EPHA2
1.0	9.763157894736842	KIAA1109	EPHA2
1.0	9.512820512820513	STK11IP	CDKN2A
1.0	9.275	MTX1	CDKN2A
1.0	9.048780487804878	ZNF511	CDKN2A
1.0	8.833333333333334	TRPT1	CDKN2A
1.0	8.627906976744185	SDHAF2	CDKN2A
1.0	8.431818181818182	SCRIB	EPHA2
1.0	8.244444444444444	KRAS	CDC27
1.0	8.065217391304348	RPS28	CDKN2A
1.0	7.8936170212765955	C19orf26	CDKN2A
1.0	7.729166666666667	FRG1	EPHA2
1.0	7.571428571428571	VWA5B1	CDKN2A
1.0	7.42	CKLF	CDKN2A
1.0	7.2745098039215685	IDH1	BAP1
1.0	7.134615384615385	PBRM1	CDKN2A
1.0	7.0	BCOR	EPHA2
1.0	6.87037037037037	RPS21	CDKN2A
1.0	6.745454545454545	TCF4	CDKN2A
1.0	6.625	OSBPL3	CDKN2A
1.0	6.508771929824562	MAP2K1	CDKN2A
1.0	6.396551724137931	SPHK2	CDKN2A
1.0	6.288135593220339	TP53BP1	CDKN2A
1.0	6.183333333333334	FBXO2	CDKN2A
1.0	6.081967213114754	PPFIBP1	CDKN2A
