Score	q-val	Members
1.0	151.75	XRCC4	APC
1.0	75.875	PLXNA3	KRAS
1.0	50.583333333333336	GNA15	PLXNA3
1.0	37.9375	CADM4	GNA15
1.0	30.35	GNA11	KRAS
1.0	25.291666666666668	UTRN	APC
1.0	21.678571428571427	PTGS1	IFIH1
1.0	18.96875	ZNF451	TG
1.0	16.86111111111111	NAA15	PRKCA
1.0	15.175	HIRA	APC
1.0	13.795454545454545	MMP7	TP53
1.0	12.645833333333334	ITSN1	TP53
1.0	11.673076923076923	XRCC1	TG
1.0	10.839285714285714	SETX	PRKCA
1.0	10.116666666666667	DAB2	KRAS
1.0	9.484375	APOE	TP53
1.0	8.926470588235293	ROBO1	IFIH1
1.0	8.430555555555555	RAPGEF6	PRKCA
1.0	7.9868421052631575	CFH	TP53
1.0	7.5875	PIK3CA	TP53
1.0	7.226190476190476	VPS13A	ABCB1
1.0	6.8977272727272725	RBM10	CFLAR
1.0	6.5978260869565215	WWOX	XRCC4
1.0	6.322916666666667	MAGI3	KRAS
1.0	6.07	VANGL2	KRAS
1.0	5.836538461538462	LIG3	TG
1.0	5.62037037037037	STIM2	KRAS
1.0	5.419642857142857	GPR132	KRAS
1.0	5.232758620689655	ADAMTS9	APC
1.0	5.058333333333334	TNS1	PIK3CA
1.0	4.895161290322581	ATP9A	ATP11A
1.0	4.7421875	RNF20	KRAS
1.0	4.598484848484849	FBXO10	SMC2
1.0	4.463235294117647	TDRD3	TP53
1.0	4.335714285714285	IFIH1	KRAS
1.0	4.215277777777778	STK10	TP53
1.0	4.101351351351352	ERBB2	XRCC4
1.0	3.9934210526315788	AHCTF1	XRCC4
1.0	3.891025641025641	ITGB2	XRCC4
1.0	3.79375	ABCA1	PLXNA3
1.0	3.701219512195122	AKAP11	PRKCA
1.0	3.613095238095238	FBXW7	XRCC4
1.0	3.5290697674418605	PTK2	KRAS
1.0	3.4488636363636362	KRAS	IFIH1
1.0	3.3722222222222222	IDH2	TG
1.0	3.2989130434782608	LEO1	XRCC4
1.0	3.228723404255319	TRAF5	APC
1.0	3.1614583333333335	GCNT1	TP53
1.0	3.0969387755102042	HECTD1	SF1
1.0	3.035	COL18A1	XRCC4
1.0	2.9754901960784315	CFLAR	PLXNA3
1.0	2.918269230769231	SMCHD1	TP53
