Score	q-val	Members
1.0	142.65	XRCC4	APC
1.0	71.325	PLXNA3	KRAS
1.0	47.550000000000004	GNA15	PLXNA3
1.0	35.6625	CADM4	GNA15
1.0	28.53	GNA11	KRAS
1.0	23.775000000000002	ZNF451	TG
1.0	20.37857142857143	PTGS1	PRKCA
1.0	17.83125	UTRN	APC
1.0	15.850000000000001	MMP7	TP53
1.0	14.265	HIRA	APC
1.0	12.968181818181819	NAA15	PRKCA
1.0	11.887500000000001	ITSN1	TP53
1.0	10.973076923076924	XRCC1	TG
1.0	10.189285714285715	SETX	PRKCA
1.0	9.51	DAB2	KRAS
1.0	8.915625	APOE	TP53
1.0	8.391176470588235	ROBO1	IFIH1
1.0	7.925000000000001	RAPGEF6	RPE
1.0	7.507894736842106	CFH	TP53
1.0	7.1325	PIK3CA	TP53
1.0	6.792857142857143	VPS13A	ABCB1
1.0	6.484090909090909	WWOX	XRCC4
1.0	6.202173913043478	MAGI3	KRAS
1.0	5.9437500000000005	VANGL2	KRAS
1.0	5.706	STIM2	KRAS
1.0	5.486538461538462	LIG3	TG
1.0	5.283333333333333	GPR132	KRAS
1.0	5.0946428571428575	ADAMTS9	APC
1.0	4.9189655172413795	TNS1	PIK3CA
1.0	4.755	ATP9A	ATP11A
1.0	4.601612903225806	RNF20	KRAS
1.0	4.4578125	FBXO10	SMC2
1.0	4.322727272727273	TDRD3	TP53
1.0	4.195588235294117	IFIH1	KRAS
1.0	4.075714285714286	STK10	TP53
1.0	3.9625000000000004	ERBB2	XRCC4
1.0	3.8554054054054054	AHCTF1	XRCC4
1.0	3.753947368421053	ITGB2	XRCC4
1.0	3.657692307692308	ABCA1	PLXNA3
1.0	3.56625	AKAP11	PRKCA
1.0	3.479268292682927	PTK2	KRAS
1.0	3.3964285714285714	FBXW7	XRCC4
1.0	3.3174418604651166	KRAS	IFIH1
1.0	3.2420454545454547	IDH2	TG
1.0	3.17	LEO1	XRCC4
1.0	3.101086956521739	TRAF5	APC
1.0	3.0351063829787237	GCNT1	TP53
1.0	2.9718750000000003	COL18A1	XRCC4
1.0	2.9112244897959183	CFLAR	PLXNA3
1.0	2.853	RECQL5	KRAS
1.0	2.797058823529412	SMCHD1	TP53
1.0	2.743269230769231	TAF6	PRKCA
1.0	2.6915094339622643	MYO1B	KRAS
1.0	2.6416666666666666	LPP	KRAS
1.0	2.5936363636363637	DENND1A	TBC1D24
1.0	2.5473214285714287	ATP11A	IFIH1
1.0	2.5026315789473683	TRIO	APC
1.0	2.4594827586206898	EPHX1	TP53
1.0	2.4177966101694914	ABCB1	APC
1.0	2.3775	ACACB	TP53
1.0	2.3385245901639347	CD63	TP53
1.0	2.300806451612903	ATM	TP53
1.0	2.2642857142857142	MPRIP	TG
1.0	2.22890625	TBC1D24	KRAS
1.0	2.1946153846153846	RPE	TP53
1.0	2.1613636363636366	LAMA3	KRAS
1.0	2.1291044776119405	ATP2A3	KRAS
1.0	2.0977941176470587	UBA2	KRAS
1.0	2.0673913043478263	MCPH1	COL18A1
1.0	2.037857142857143	ITGA7	PRKCA
1.0	2.009154929577465	DNMT1	XRCC4
1.0	1.9812500000000002	UTP20	TP53
1.0	1.954109589041096	KLF4	TP53
1.0	1.9277027027027027	ADAR	TP53
1.0	1.9020000000000001	OSBP	APC
1.0	1.8769736842105265	SEPHS1	XRCC4
1.0	1.8525974025974026	ELF3	XRCC4
1.0	1.828846153846154	COPS5	XRCC4
1.0	1.8056962025316456	HIP1R	TP53
1.0	1.783125	TCOF1	COPS5
1.0	1.761111111111111	PDIA5	TP53
1.0	1.7396341463414635	CD151	XRCC4
1.0	1.7186746987951809	TTLL3	PRKCA
1.0	1.6982142857142857	KIF2C	TG
1.0	1.678235294117647	RANBP9	GNA15
1.0	1.6587209302325583	DNAJC14	KRAS
1.0	1.639655172413793	COPB1	TP53
1.0	1.6210227272727273	ARHGAP11A	TP53
1.0	1.602808988764045	RANBP2	KRAS
1.0	1.585	DOCK11	KRAS
1.0	1.5675824175824176	USP13	TP53
1.0	1.5505434782608696	PRKCA	KRAS
1.0	1.5338709677419355	STX2	XRCC4
1.0	1.5175531914893619	SGK3	CSF1
1.0	1.5015789473684211	SOX13	APOE
1.0	1.4859375000000001	TP53	XRCC4
1.0	1.470618556701031	ADNP	PRKCA
1.0	1.4556122448979592	IPO8	RANBP2
1.0	1.440909090909091	ARHGEF15	APC
1.0	1.4265	MXD1	TDRD3
1.0	1.4123762376237625	DAPK1	GNA15
1.0	1.398529411764706	ELMO1	KRAS
1.0	1.3849514563106797	CD3EAP	TG
1.0	1.3716346153846155	ALG10B	SGK3
1.0	1.3585714285714285	DPF2	PIK3CA
1.0	1.3457547169811321	TG	XRCC4
1.0	1.333177570093458	PHLDB1	TP53
1.0	1.3208333333333333	CSF1	OSBP
1.0	1.3087155963302752	TFR2	APC
1.0	1.2968181818181819	FPR3	KRAS
1.0	1.2851351351351352	EHBP1L1	KRAS
1.0	1.2736607142857144	SMUG1	TG
1.0	1.2623893805309736	EDEM1	PRKCA
1.0	1.2513157894736842	GPHN	XRCC4
1.0	1.2404347826086957	FAT4	TP53
1.0	1.2297413793103449	LANCL2	CFH
1.0	1.2192307692307693	CAMK2D	KRAS
1.0	1.2088983050847457	RAB11B	PHLDB1
1.0	1.1987394957983193	CHD1	FBXW7
1.0	1.18875	UNK	TP53
1.0	1.178925619834711	TNRC6B	TP53
1.0	1.1692622950819673	NSUN2	KRAS
1.0	1.1597560975609758	APC	XRCC4
1.0	1.1504032258064516	TCIRG1	TP53
1.0	1.1412	ALPK1	KRAS
1.0	1.1321428571428571	UPF2	TP53
1.0	1.123228346456693	CENPF	KIF2C
1.0	1.114453125	PRR5L	KRAS
1.0	1.1058139534883722	SMC2	XRCC4
1.0	1.0973076923076923	ITPR1	TP53
1.0	1.0889312977099237	FZD6	GNA15
1.0	1.0806818181818183	CADPS	APOE
1.0	1.0725563909774436	PRLR	GNA15
1.0	1.0645522388059703	PHF14	PIK3CA
1.0	1.0566666666666666	CDH17	TP53
1.0	1.0488970588235293	BLVRB	KRAS
1.0	1.0412408759124088	NFIC	GNA15
1.0	1.0336956521739131	MUC17	RPE
1.0	1.0262589928057555	CDH11	APC
