Score	q-val	Members
1.0	151.85	XRCC4	APC
1.0	75.925	PLXNA3	KRAS
1.0	50.61666666666667	GNA15	PLXNA3
1.0	37.9625	CADM4	GNA15
1.0	30.369999999999997	GNA11	KRAS
1.0	25.308333333333334	ZNF451	TG
1.0	21.692857142857143	PTGS1	IFIH1
1.0	18.98125	UTRN	APC
1.0	16.87222222222222	MMP7	TP53
1.0	15.184999999999999	NAA15	PRKCA
1.0	13.804545454545455	HIRA	APC
1.0	12.654166666666667	XRCC1	TG
1.0	11.680769230769231	ITSN1	TP53
1.0	10.846428571428572	SETX	PRKCA
1.0	10.123333333333333	DAB2	KRAS
1.0	9.490625	ROBO1	IFIH1
1.0	8.93235294117647	APOE	TP53
1.0	8.43611111111111	RAPGEF6	PRKCA
1.0	7.992105263157894	CFH	TP53
1.0	7.592499999999999	PIK3CA	TP53
1.0	7.230952380952381	VPS13A	ABCB1
1.0	6.902272727272727	RBM10	CFLAR
1.0	6.602173913043478	WWOX	XRCC4
1.0	6.327083333333333	MAGI3	KRAS
1.0	6.074	VANGL2	KRAS
1.0	5.8403846153846155	STIM2	KRAS
1.0	5.624074074074074	LIG3	TG
1.0	5.423214285714286	GPR132	KRAS
1.0	5.236206896551724	ADAMTS9	APC
1.0	5.0616666666666665	TNS1	PIK3CA
1.0	4.898387096774194	ATP9A	ATP11A
1.0	4.7453125	RNF20	KRAS
1.0	4.601515151515152	FBXO10	SMC2
1.0	4.466176470588235	TDRD3	TP53
1.0	4.338571428571428	IFIH1	KRAS
1.0	4.218055555555555	ERBB2	XRCC4
1.0	4.104054054054054	STK10	TP53
1.0	3.996052631578947	AHCTF1	XRCC4
1.0	3.8935897435897435	ITGB2	XRCC4
1.0	3.7962499999999997	ABCA1	PLXNA3
1.0	3.703658536585366	AKAP11	PRKCA
1.0	3.6154761904761905	FBXW7	XRCC4
1.0	3.531395348837209	PTK2	KRAS
1.0	3.4511363636363637	KRAS	IFIH1
1.0	3.3744444444444444	IDH2	TG
1.0	3.301086956521739	LEO1	XRCC4
1.0	3.230851063829787	TRAF5	APC
1.0	3.1635416666666667	GCNT1	TP53
1.0	3.0989795918367347	HECTD1	SF1
1.0	3.037	COL18A1	XRCC4
1.0	2.977450980392157	CFLAR	PLXNA3
1.0	2.9201923076923078	RECQL5	KRAS
1.0	2.8650943396226416	SMCHD1	TP53
1.0	2.812037037037037	TAF6	PRKCA
1.0	2.7609090909090908	LPP	KRAS
1.0	2.711607142857143	TTC21B	KRAS
1.0	2.664035087719298	MYO1B	KRAS
1.0	2.618103448275862	DENND1A	TBC1D24
1.0	2.573728813559322	EPHX1	TP53
1.0	2.5308333333333333	ATP11A	IFIH1
1.0	2.4893442622950817	TRIO	APC
1.0	2.449193548387097	ABCB1	APC
1.0	2.41031746031746	ACACB	TP53
1.0	2.37265625	CD63	TP53
1.0	2.336153846153846	ATM	TP53
1.0	2.300757575757576	MPRIP	TG
1.0	2.2664179104477613	TBC1D24	KRAS
1.0	2.2330882352941175	RPE	TP53
1.0	2.2007246376811596	LAMA3	KRAS
1.0	2.169285714285714	ATP2A3	KRAS
1.0	2.138732394366197	UBA2	KRAS
1.0	2.1090277777777775	ITGA7	TP53
1.0	2.08013698630137	MCPH1	COL18A1
1.0	2.052027027027027	DNMT1	XRCC4
1.0	2.0246666666666666	UTP20	TP53
