Score	q-val	Members
1.0	208.0	XRCC4	TP53
1.0	104.0	CADM4	ASTN2
1.0	69.33333333333333	PTGS1	ASTN2
1.0	52.0	UTRN	TP53
1.0	41.6	NAA15	L2HGDH
1.0	34.666666666666664	HIRA	TP53
1.0	29.714285714285715	XRCC1	L2HGDH
1.0	26.0	ITSN1	TP53
1.0	23.11111111111111	APOE	TP53
1.0	20.8	CFH	TP53
1.0	18.90909090909091	RAPGEF6	ASTN2
1.0	17.333333333333332	PIK3CA	TP53
1.0	16.0	VPS13A	L2HGDH
1.0	14.857142857142858	FAM164C	ASTN2
1.0	13.866666666666667	WWOX	L2HGDH
1.0	13.0	MAGI3	KRAS
1.0	12.235294117647058	VANGL2	KRAS
1.0	11.555555555555555	LIG3	L2HGDH
1.0	10.947368421052632	EXD3	TP53
1.0	10.4	GPR132	KRAS
1.0	9.904761904761905	C1orf66	KRAS
1.0	9.454545454545455	PCLO	TP53
1.0	9.043478260869565	GCC2	ASTN2
1.0	8.666666666666666	ADAMTS9	TP53
1.0	8.32	PARP12	KRAS
1.0	8.0	CNTROB	KRAS
1.0	7.703703703703703	EPS8L2	TP53
1.0	7.428571428571429	KIAA0947	TP53
1.0	7.172413793103448	ARV1	L2HGDH
1.0	6.933333333333334	TDRD3	TP53
1.0	6.709677419354839	ERBB2	ASTN2
1.0	6.5	AHCTF1	ASTN2
1.0	6.303030303030303	AKAP11	ASTN2
1.0	6.117647058823529	ARFGEF1	KRAS
1.0	5.942857142857143	ZNF226	L2HGDH
1.0	5.777777777777778	KRAS	SEC24B
1.0	5.621621621621622	IDH2	L2HGDH
1.0	5.473684210526316	ZNF74	ASTN2
1.0	5.333333333333333	LEO1	ASTN2
1.0	5.2	GCNT1	TP53
1.0	5.073170731707317	COL18A1	L2HGDH
1.0	4.9523809523809526	RECQL5	KRAS
1.0	4.837209302325581	DENND1A	ASTN2
1.0	4.7272727272727275	ATP11A	L2HGDH
1.0	4.622222222222222	TRIO	TP53
1.0	4.521739130434782	ACACB	TP53
