Score	q-val	Members
1.0	466.0	LTBP1	MET
1.0	233.0	LTBP4	MET
1.0	155.33333333333334	STOML2	MET
1.0	116.5	ITSN2	MET
1.0	93.2	OGDH	MLL3
1.0	77.66666666666667	MAP3K7	MLL3
1.0	66.57142857142857	ACTG1	MET
1.0	58.25	CUL3	MLL3
1.0	51.77777777777778	CLK3	MET
1.0	46.6	INCENP	MET
1.0	42.36363636363637	KCNK5	MET
1.0	38.833333333333336	CDH24	MLL3
1.0	35.84615384615385	STAG2	MET
1.0	33.285714285714285	TYRO3	MET
1.0	31.066666666666666	PTPRM	MLL3
1.0	29.125	LRRC1	MET
1.0	27.41176470588235	CTNNA1	MET
1.0	25.88888888888889	CCDC132	MET
1.0	24.526315789473685	SSTR2	MET
1.0	23.3	EIF2AK1	MET
1.0	22.19047619047619	TRAPPC9	FAT1
1.0	21.181818181818183	MED16	MET
1.0	20.26086956521739	CMIP	MET
1.0	19.416666666666668	MAPK7	MET
1.0	18.64	ACAA1	MET
1.0	17.923076923076923	ZNF613	MET
1.0	17.25925925925926	DBNDD1	MET
1.0	16.642857142857142	CRTC2	MLL3
1.0	16.06896551724138	ZNF516	MET
1.0	15.533333333333333	AHCY	MLL3
1.0	15.03225806451613	TNRC18	MET
1.0	14.5625	ACP6	MET
1.0	14.121212121212121	PTH1R	MET
1.0	13.705882352941176	CHCHD3	MET
1.0	13.314285714285715	NFKBIA	MET
1.0	12.944444444444445	ZNF514	MET
1.0	12.594594594594595	C1orf54	MET
1.0	12.263157894736842	URGCP	MET
1.0	11.948717948717949	SGK223	MET
1.0	11.65	SYBU	MET
1.0	11.365853658536585	AHNAK2	MLL3
1.0	11.095238095238095	C17orf80	MET
1.0	10.837209302325581	ARHGEF10L	MET
1.0	10.590909090909092	DNMT3A	MET
1.0	10.355555555555556	DUSP23	MET
1.0	10.130434782608695	HGD	MET
1.0	9.914893617021276	ZNF497	MET
1.0	9.708333333333334	C7orf41	MET
1.0	9.510204081632653	FNIP2	MLL3
1.0	9.32	ADAP2	MLL3
1.0	9.137254901960784	MZF1	MLL3
1.0	8.961538461538462	POP1	MET
1.0	8.79245283018868	HGS	MET
1.0	8.62962962962963	RERE	FAT1
1.0	8.472727272727273	TAF1B	MLL3
1.0	8.321428571428571	SGSH	MET
1.0	8.175438596491228	ZNF292	MET
1.0	8.03448275862069	ELF3	MET
1.0	7.898305084745763	GRIP1	MLL3
1.0	7.766666666666667	RLIM	MET
1.0	7.639344262295082	YBX1	MET
1.0	7.516129032258065	MTHFD1	MLL3
1.0	7.396825396825397	AP1S3	MET
1.0	7.28125	DYNLL2	MET
1.0	7.1692307692307695	CREG1	MET
1.0	7.0606060606060606	EEF2K	MET
1.0	6.955223880597015	ERRFI1	MET
1.0	6.852941176470588	GPR97	MLL3
1.0	6.753623188405797	TP53	MET
1.0	6.6571428571428575	EXOSC2	FAT1
1.0	6.563380281690141	SLC3A1	MET
1.0	6.472222222222222	NDUFA11	MET
1.0	6.383561643835616	MTRR	MLL3
1.0	6.297297297297297	C22orf39	MET
1.0	6.213333333333333	USP28	MET
1.0	6.131578947368421	BRWD1	MLL3
1.0	6.0519480519480515	RRM2	MET
1.0	5.9743589743589745	TMCO3	MET
1.0	5.89873417721519	ZER1	MET
1.0	5.825	SRGAP1	MLL3
1.0	5.753086419753086	PHLDB1	FAT1
1.0	5.682926829268292	EXOC7	MET
1.0	5.614457831325301	FGGY	MET
1.0	5.5476190476190474	C6	MET
1.0	5.482352941176471	RTKN	MLL3
1.0	5.4186046511627906	RTL1	MLL3
1.0	5.35632183908046	GIN1	MET
1.0	5.295454545454546	SRRT	MET
1.0	5.235955056179775	TEKT1	MET
1.0	5.177777777777778	PITRM1	MET
1.0	5.1208791208791204	WDR12	MET
1.0	5.065217391304348	USP37	MET
1.0	5.010752688172043	KCNE2	MET
1.0	4.957446808510638	RFPL3	MET
1.0	4.905263157894737	NBEAL1	MET
1.0	4.854166666666667	GALNT14	MET
1.0	4.804123711340206	PDK2	MET
1.0	4.755102040816326	USP40	MET
1.0	4.707070707070707	CAPN5	MET
1.0	4.66	TMEM9	MET
1.0	4.6138613861386135	TRIM28	MLL3
1.0	4.568627450980392	EXPH5	MET
1.0	4.524271844660194	RPL24	MLL3
1.0	4.480769230769231	DOT1L	MET
1.0	4.438095238095238	BCORL1	MET
1.0	4.39622641509434	RPL22	MET
1.0	4.355140186915888	KIAA1549	MLL3
1.0	4.314814814814815	KCNF1	MET
1.0	4.275229357798165	ZMYND15	MET
1.0	4.236363636363636	REPIN1	MET
1.0	4.198198198198198	SPATA20	MET
1.0	4.160714285714286	ILKAP	MET
1.0	4.123893805309734	AP1G2	MET
1.0	4.087719298245614	AP1G1	MET
1.0	4.052173913043478	PASK	MET
1.0	4.017241379310345	IQGAP2	MET
1.0	3.982905982905983	ZXDB	MET
1.0	3.9491525423728815	OSGIN1	MET
1.0	3.9159663865546217	CNOT1	MET
1.0	3.8833333333333333	TCEAL4	MET
1.0	3.8512396694214877	IL17RB	MET
1.0	3.819672131147541	UQCR10	MET
1.0	3.7886178861788617	CDKN2B	MET
1.0	3.7580645161290325	ANK3	MET
1.0	3.728	MFHAS1	FAT1
1.0	3.6984126984126986	PITPNC1	MET
1.0	3.6692913385826773	ANKZF1	MET
1.0	3.640625	SAMD4A	MET
1.0	3.612403100775194	PQLC3	MET
1.0	3.5846153846153848	SAMD4B	MET
1.0	3.5572519083969465	IDUA	MET
1.0	3.5303030303030303	TMEM206	MET
1.0	3.5037593984962405	TWF2	MET
1.0	3.4776119402985075	ATG9A	MLL3
1.0	3.4518518518518517	TMEM167A	MET
1.0	3.426470588235294	NBAS	MLL3
1.0	3.4014598540145986	BST1	MET
1.0	3.3768115942028984	BAIAP3	MET
1.0	3.352517985611511	BAIAP2	MLL3
1.0	3.3285714285714287	NEIL2	MET
1.0	3.3049645390070923	PCTP	MET
1.0	3.2816901408450705	RBKS	MLL3
1.0	3.2587412587412588	ARID1A	MET
1.0	3.236111111111111	HLA-B	MET
1.0	3.213793103448276	PNPLA8	MET
1.0	3.191780821917808	LCLAT1	MET
1.0	3.1700680272108843	NFE2L2	MET
1.0	3.1486486486486487	NFE2L3	MLL3
1.0	3.12751677852349	SLC40A1	MET
1.0	3.1066666666666665	FAM160B2	FAT1
1.0	3.0860927152317883	PHKA2	MET
1.0	3.0657894736842106	PAM	MLL3
1.0	3.045751633986928	HMGB2	MET
1.0	3.0259740259740258	TMEM214	MET
1.0	3.0064516129032257	GLUD2	MET
1.0	2.9871794871794872	LRBA	MET
1.0	2.968152866242038	SLC38A10	MET
1.0	2.949367088607595	OR2L3	MET
1.0	2.930817610062893	HNRNPM	FAT1
1.0	2.9125	TTBK2	MET
1.0	2.8944099378881987	SMARCB1	MET
1.0	2.876543209876543	ZNF598	MET
1.0	2.8588957055214723	RPL7A	MET
1.0	2.841463414634146	TRAF5	MET
1.0	2.824242424242424	TMEM30A	MLL3
1.0	2.8072289156626504	PRB2	MET
1.0	2.7904191616766467	PHACTR1	MLL3
1.0	2.7738095238095237	UBXN11	MET
1.0	2.757396449704142	CUBN	FAT1
1.0	2.7411764705882353	SMCHD1	MET
1.0	2.7251461988304095	PRB4	MET
1.0	2.7093023255813953	SLC6A13	MET
1.0	2.69364161849711	MET	FAT1
1.0	2.67816091954023	DOCK9	MET
1.0	2.662857142857143	MPHOSPH10	MLL3
1.0	2.647727272727273	MTHFSD	MET
1.0	2.632768361581921	ARMC5	MET
1.0	2.6179775280898876	THUMPD2	MET
1.0	2.6033519553072626	RFNG	MET
1.0	2.588888888888889	MYPOP	MET
1.0	2.574585635359116	TPBG	MET
1.0	2.5604395604395602	MPRIP	MLL3
1.0	2.546448087431694	AIM1	MET
1.0	2.532608695652174	TRAF3IP2	MLL3
1.0	2.518918918918919	TNFSF10	MET
1.0	2.5053763440860215	PRKAR1A	MET
1.0	2.4919786096256686	TDG	MET
1.0	2.478723404255319	ZNF318	MLL3
1.0	2.4656084656084656	SLC13A3	MET
1.0	2.4526315789473685	FBXO33	MET
