Score	q-val	Members
1.0	500.0	LTBP1	MET
1.0	250.0	LTBP4	MET
1.0	166.66666666666666	STOML2	MET
1.0	125.0	ITSN2	MET
1.0	100.0	OGDH	MLL3
1.0	83.33333333333333	MAP3K7	MLL3
1.0	71.42857142857143	ACTG1	MET
1.0	62.5	CUL3	MLL3
1.0	55.55555555555556	CLK3	MET
1.0	50.0	INCENP	MET
1.0	45.45454545454545	KCNK5	MET
1.0	41.666666666666664	CAB39	MLL3
1.0	38.46153846153846	MTERFD2	MLL3
1.0	35.714285714285715	CDH24	MLL3
1.0	33.333333333333336	STAG2	MET
1.0	31.25	TYRO3	MET
1.0	29.41176470588235	PTPRM	MLL3
1.0	27.77777777777778	LRRC1	MET
1.0	26.31578947368421	CTNNA1	MET
1.0	25.0	CCDC132	MET
1.0	23.80952380952381	SSTR2	MET
1.0	22.727272727272727	EIF2AK1	MET
1.0	21.73913043478261	TRAPPC9	FAT1
1.0	20.833333333333332	MED16	MET
1.0	20.0	CMIP	MET
1.0	19.23076923076923	MAPK7	MET
1.0	18.51851851851852	ACAA1	MET
1.0	17.857142857142858	ZNF613	MET
1.0	17.24137931034483	DBNDD1	MET
1.0	16.666666666666668	CRTC2	MLL3
1.0	16.129032258064516	ZNF516	MET
1.0	15.625	AHCY	MLL3
1.0	15.151515151515152	TNRC18	MLL3
1.0	14.705882352941176	ACP6	MET
1.0	14.285714285714286	PTH1R	MET
1.0	13.88888888888889	CHCHD3	MET
1.0	13.513513513513514	NFKBIA	MET
1.0	13.157894736842104	ZNF514	FAT1
1.0	12.820512820512821	C1orf54	MET
1.0	12.5	OTOS	MLL3
1.0	12.195121951219512	URGCP	MLL3
1.0	11.904761904761905	SGK223	MET
1.0	11.627906976744185	SYBU	MET
1.0	11.363636363636363	AHNAK2	MLL3
1.0	11.11111111111111	C17orf80	MET
1.0	10.869565217391305	ARHGEF10L	MET
1.0	10.638297872340425	DNMT3A	MET
1.0	10.416666666666666	DUSP23	MET
1.0	10.204081632653061	HGD	MET
1.0	10.0	ZNF497	MET
1.0	9.803921568627452	C7orf41	MET
1.0	9.615384615384615	FNIP2	MLL3
1.0	9.433962264150944	DUSP28	MLL3
1.0	9.25925925925926	ADAP2	MLL3
1.0	9.090909090909092	MZF1	MLL3
1.0	8.928571428571429	POP1	MET
1.0	8.771929824561404	HGS	MET
1.0	8.620689655172415	RERE	FAT1
1.0	8.474576271186441	TAF1B	MLL3
1.0	8.333333333333334	SGSH	MET
1.0	8.19672131147541	ZNF292	MET
1.0	8.064516129032258	ELF3	MET
1.0	7.936507936507937	GRIP1	MLL3
1.0	7.8125	RNPEPL1	MLL3
1.0	7.6923076923076925	RLIM	MET
1.0	7.575757575757576	YBX1	MET
1.0	7.462686567164179	MTHFD1	MLL3
1.0	7.352941176470588	AP1S3	MET
1.0	7.246376811594203	DYNLL2	MET
1.0	7.142857142857143	CREG1	MET
1.0	7.042253521126761	EEF2K	MET
1.0	6.944444444444445	ERRFI1	MET
1.0	6.8493150684931505	GPR97	MLL3
1.0	6.756756756756757	TP53	MET
1.0	6.666666666666667	EXOSC2	FAT1
1.0	6.578947368421052	SLC3A1	MET
1.0	6.4935064935064934	NDUFA11	MET
1.0	6.410256410256411	MTRR	MLL3
1.0	6.329113924050633	C22orf39	MET
1.0	6.25	USP28	MET
1.0	6.172839506172839	BRWD1	MLL3
1.0	6.097560975609756	RRM2	MET
1.0	6.024096385542169	TMCO3	MET
1.0	5.9523809523809526	ZER1	MET
1.0	5.882352941176471	SRGAP1	MLL3
1.0	5.813953488372093	PHLDB1	FAT1
1.0	5.747126436781609	EXOC7	MET
1.0	5.681818181818182	FGGY	MET
1.0	5.617977528089888	C6	MET
1.0	5.555555555555555	RTKN	MLL3
1.0	5.4945054945054945	RTL1	MLL3
1.0	5.434782608695652	GIN1	MET
1.0	5.376344086021505	SRRT	MET
1.0	5.319148936170213	TEKT1	MET
1.0	5.2631578947368425	PITRM1	MET
1.0	5.208333333333333	KCNE2	MET
1.0	5.154639175257732	USP37	MET
1.0	5.1020408163265305	WDR12	MET
1.0	5.05050505050505	RFPL3	MET
1.0	5.0	NBEAL1	MET
1.0	4.9504950495049505	GALNT14	MET
1.0	4.901960784313726	PDK2	MET
1.0	4.854368932038835	USP40	MLL3
1.0	4.8076923076923075	CAPN5	MET
1.0	4.761904761904762	TMEM9	MET
1.0	4.716981132075472	TRIM28	MLL3
1.0	4.672897196261682	EXPH5	MET
1.0	4.62962962962963	RPL24	MLL3
1.0	4.587155963302752	DOT1L	MET
1.0	4.545454545454546	BCORL1	FAT1
1.0	4.504504504504505	RPL22	MET
1.0	4.464285714285714	KIAA1549	MLL3
1.0	4.424778761061947	KCNF1	MET
1.0	4.385964912280702	ZMYND15	MET
1.0	4.3478260869565215	REPIN1	MET
1.0	4.310344827586207	SPATA20	MET
1.0	4.273504273504273	ILKAP	MLL3
1.0	4.237288135593221	AP1G2	MET
1.0	4.201680672268908	AP1G1	MET
1.0	4.166666666666667	PASK	MLL3
1.0	4.132231404958677	IQGAP2	MET
1.0	4.098360655737705	ZXDB	MET
1.0	4.065040650406504	OSGIN1	MET
1.0	4.032258064516129	CNOT1	MET
1.0	4.0	TCEAL4	MET
1.0	3.9682539682539684	IL17RB	MET
1.0	3.937007874015748	MFF	MLL3
1.0	3.90625	UQCR10	MET
1.0	3.875968992248062	CDKN2B	MET
1.0	3.8461538461538463	ANK3	FAT1
1.0	3.816793893129771	MFHAS1	FAT1
1.0	3.787878787878788	CTDSP1	MET
1.0	3.7593984962406015	PITPNC1	MET
1.0	3.7313432835820897	ANKZF1	MET
1.0	3.7037037037037037	SAMD4A	MET
1.0	3.676470588235294	PQLC3	MET
1.0	3.6496350364963503	SAMD4B	MET
1.0	3.6231884057971016	IDUA	MET
1.0	3.597122302158273	TMEM206	MET
1.0	3.5714285714285716	TWF2	MET
1.0	3.5460992907801416	ATG9A	MLL3
1.0	3.5211267605633805	TMEM167A	MET
1.0	3.4965034965034967	NBAS	MLL3
1.0	3.4722222222222223	STK25	MLL3
1.0	3.4482758620689653	BST1	MET
1.0	3.4246575342465753	BAIAP3	MLL3
1.0	3.401360544217687	BAIAP2	MLL3
1.0	3.3783783783783785	NEIL2	MET
1.0	3.3557046979865772	PCTP	MET
1.0	3.3333333333333335	RBKS	MLL3
1.0	3.3112582781456954	ARID1A	MET
1.0	3.289473684210526	HLA-B	MET
1.0	3.2679738562091503	HES6	MLL3
