longName	abbr
Adrenocortical carcinoma	ACC
Bladder Urothelial Carcinoma	BLCA
Breast invasive carcinoma	BRCA
invasive breast carcinoma	BRCA
breast cancer	BRCA
breast carcinoma	BRCA
Cervical cancer	CESC
Cervical squamous cell carcinoma and endocervical adenocarcinoma	CESC
Endocervical cancer	CESC
Cholangiocarcinoma	CHOL
Colon adenocarcinoma	COAD
Colorectal cancer	COADREAD
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	DLBC
Glioblastoma	GBM
Glioblastoma multiforme	GBM
Glioblastoma multiforme/Brain Lower Grade Glioma	GBMLGG
Head and Neck squamous cell carcinoma	HNSC
Kidney Chromophobe	KICH
Pan-Kidney	KIPAN
Kidney renal clear cell carcinoma	KIRC
Kidney renal papillary cell carcinoma	KIRP
Kidney cancer	KIRP
Acute Myeloid Leukemia	LAML
Leukemia	LAML
Brain Lower Grade Glioma	LGG
Brain cancer	LGG
Liver hepatocellular carcinoma	LIHC
Liver cancer	LIHC
Lung adenocarcinoma	LUAD
Lung cancer	LUAD
Lung squamous cell carcinoma	LUSC
Ovarian serous cystadenocarcinoma	OV
Ovarian cancer	OV
Ovary cancer	OV
Ovary serous cystadenocarcinoma	OV
Pancreatic adenocarcinoma	PAAD
Pancreatic cancer	PAAD
Pancreas cancer	PAAD
Pancreas adenocarcinoma	PAAD
Pheochromocytoma and Paraganglioma	PCPG
Prostate adenocarcinoma	PRAD
Prostate cancer	PRAD
Prostatic adenocarcinoma	PRAD
Prostatic cancer	PRAD
Rectum adenocarcinoma	READ
Rectal adenocarcinoma	READ
Rectal cancer	READ
Rectum cancer	READ
Sarcoma	SARC
Skin Cutaneous Melanoma	SKCM
Melanoma	SKCM
Stomach adenocarcinoma	STAD
Stomach cancer	STAD
Esophagus carcinoma	STES
Esophagus cancer	STES
Esophageal cancer	STES
Stomach and Esophageal carcinoma	STES
Esophageal carcinoma	STES
Testis cancer	TGCT
Testicular Germ Cell Tumors	TGCT
Testicular cancer	TGCT
Thyroid cancer	THCA
Thyroid carcinoma	THCA
Uterine Corpus Endometrial Carcinoma	UCEC
Uterine Corpus Endometrial cancer	UCEC
Uterine Carcinosarcoma	UCS
Uterine cancer	UCS
Uveal Melanoma	UVM
