abbr	longName
ACC	Adrenocortical carcinoma
BLCA	Bladder Urothelial Carcinoma
BRCA	Breast invasive carcinoma
CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
CHOL	Cholangiocarcinoma
COAD	Colon adenocarcinoma
COADREAD	Colorectal cancer
DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
GBM	Glioblastoma multiforme
GBMLGG	Glioblastoma multiforme/Brain Lower Grade Glioma
HNSC	Head and Neck squamous cell carcinoma
KICH	Kidney Chromophobe
KIPAN	Pan-Kidney
KIRC	Kidney renal clear cell carcinoma
KIRP	Kidney renal papillary cell carcinoma
LAML	Acute Myeloid Leukemia
LGG	Brain Lower Grade Glioma
LIHC	Liver hepatocellular carcinoma
LUAD	Lung adenocarcinoma
LUSC	Lung squamous cell carcinoma
OV	Ovarian serous cystadenocarcinoma
PAAD	Pancreatic adenocarcinoma
PCPG	Pheochromocytoma and Paraganglioma
PRAD	Prostate adenocarcinoma
READ	Rectum adenocarcinoma
SARC	Sarcoma
SKCM	Skin Cutaneous Melanoma
STAD	Stomach adenocarcinoma
STES	Stomach and Esophageal carcinoma
TGCT	Testicular Germ Cell Tumors
THCA	Thyroid carcinoma
UCEC	Uterine Corpus Endometrial Carcinoma
UCS	Uterine Carcinosarcoma
UVM	Uveal Melanoma
